Unnamed: 0,id,uuid,name_zh,name_en,unit,sampling_start,sampling_end,valid_time,location,class_code,description,source_description,source_original_id,source_url,classification_system,source,source_type,completeness_type,first_class,second_class,third_class,data_entry_by,location_id,synonyms,data_version,create_time,class_id
0,1818422100348768256,16d2ddd3-38be-45c4-8256-d5ada9d42bc9,Tapiflex Excellence 17db、Tapiflex Excellence 19db、Tapiflex Platinium 100、Tapiflex Stairs、Ruby 70 Acoustic,"Tapiflex Excellence 17db, Tapiflex Excellence 19db, Tapiflex Platinium 100, Tapiflex Stairs, Ruby 70 Acoustic",m²,,,2029-07-09,Europe,,"Description: Tarkett's Tapiflex is a heterogeneous compact resilient floor covering. Developed with over 130 years of experience, Tarkett offers integrated flooring solutions tailored to meet the specific needs of customers. The product line includes various models such as Tapiflex Excellence 17db, Tapiflex Excellence 19db, Tapiflex Platinium 100, Tapiflex Stairs, and Ruby 70 Acoustic. The recommended service lifetime for these floor coverings is 25 years. The company emphasizes sustainability and environmental responsibility, incorporating Cradle-to-Cradle principles into its design and production processes. Tarkett is committed to creating eco-friendly products and operates with a focus on the lifecycle analysis of its products, from production through disposal and recycling.",The International EPD® System,,https://www.environdec.com/library/epd1347,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:03:08.028961,
1,1818422650695979008,ea0fc40b-6b12-47dd-8bda-306daf32c39b,Acczent Platinium 100,Acczent Platinium 100,m²,2024-07-09,2024-07-09,2029-07-09,Europe,,Description: Acczent Platinium 100 is a heterogeneous compact resilient floor covering developed by Tarkett. The service lifetime recommended by Tarkett is 25 years.,The International EPD® System,,https://www.environdec.com/library/epd14478,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:05:19.242002,
2,1818423001021026304,1d186ee8-f34c-4215-94d6-7a5180ca730b,聚乙烯类木质泡沫板（G86）、,"Polyethylene WoodLike Foam Board (G86),",tonne,2024-07-24,2024-07-24,2029-07-23,China,,"Description: The product is made of marine plastic waste, household waste plastics, and other recycled plastics as the main raw materials. The core layer adopts microcellular foaming technology with a variety of recycled polyolefin mixing systems, while the outer surface layer is made of modified HDPE as the primary material. These components are integrated through co-extruding technology, resulting in a product that exhibits surface aging-resistance, anti-bacterial, anti-mold properties, and high bonding strength. The surface of the product uses original imitation wood color mixing technology and surface wood texture processing, creating a high simulation of natural wood texture. It is primarily utilized in construction, furniture, packaging, and art, featuring a stable structure, lightweight yet high strength, strong nail holding power, and suitability for various handmade art processes and carving. The main material, HDPE recycled plastic, ensures durability of not less than 25 years and allows for 100% secondary use after the product's lifecycle ends. The product's density is 0.80 g/cm³.",The International EPD® System,,https://www.environdec.com/library/epd15629,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:06:42.766234,
3,1818423648596398080,0a83bb0f-f183-4d12-9216-23631aeccd54,陶瓷砖（1 级）、陶瓷砖（2 级）、陶瓷砖（3 级）、陶瓷砖（4 级）、陶瓷砖（5 级）,"Ceramic Tile (Class1), Ceramic Tile (Class2), Ceramic Tile (Class3), Ceramic Tile (Class4), Ceramic Tile (Class5)",kg,,,,,,"Description: Ceramic tiles are primarily made of kaolin, clay, and feldspar, but they also include other raw materials such as marble, frit, dolomite, bentonite, and quartz. The production technology of tiles is dry pressing. The required composition is blended with water to form a uniform slurry. This slurry is then fed into spray driers to form uniform granules ready for compaction. These granules are then shaped to form the bisque or green body. This can be glazed or left unglazed depending on its intended use. The green ceramic body is fired at high temperatures, resulting in a hard body. Ceramic floor tiles are largely used as interior and exterior floor coverings. Interior applications include bathrooms, kitchens, living rooms, halls, balconies, etc. Exterior applications can be in public buildings, commercial and industrial areas, swimming pools, and façades, etc. For interior applications, floor tiles should be selected regarding the technical specifications such as PEI value, hardness, stain resistance, chemical resistance, and easy cleaning, if they are to be used in the interiors of a residence. The tiles selected for exteriors should be frost-resistant and have low water absorbency. The numbers beside ceramic floor tiles indicate the abrasion resistance of the ceramic surface according to Turkish and European Standard TS-EN ISO 10545-7: Class-1: Suitable for walls and bedroom and bathroom floors. Class-2: Suitable for light traffic areas, such as the floors of a house. Class-3: Suitable for moderately heavy traffic floors such as in entrances and corridors. Class-4: Suitable for heavy traffic area floors such as in restaurants, stores, etc. Class-5: Suitable for floors subject to heavy foot traffic and abrasion, such as in shops, hotels, restaurants, offices, schools, exhibition halls, etc.",The International EPD® System,,https://www.environdec.com/library/epd872,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:09:17.160329,
4,1818424002683736064,574b98cd-7f21-4647-addb-fedaf0c25031,"Kalesinterflex(G86), Kalesinterflex(G33)","Kalesinterflex(G86), Kalesinterflex(G33)",kg,,,,,,"Description: Kalesinterflex® is a porcelain ceramic slab that comes in two options; with and without fibreglass backing. Primarily composed of clay, kaolin, and feldspar, it also includes other raw materials. The production process involves dry pressing, where the required composition is blended with water to form slurry, which is then dried to create uniform granules for compaction. These granules are shaped into a green body, which can be glazed before being fired at high temperatures to produce a hard body. Kalesinterflex® offers glazed and polished surface finishes and can be used as is or with fibreglass backing, depending on the application. It can be cut into various sizes to meet project requirements, including 1000x3000mm, 1000x1000mm, 500x3000mm, 500x1500mm, 500x1000mm, 500x500mm, 200x1500mm, and 50x1000mm. Suitable for both interior and exterior applications, such as facades, countertops, splash-backs, cladding, wet areas, and light commercial floors and walls, Kalesinterflex® can be installed on various surfaces like fibre cement sheets, concrete, brick, plaster, and waterproofing membranes. It can also be installed on facades using either a bonded or mechanical system, including a hidden clip system.",The International EPD® System,,https://www.environdec.com/library/epd1128,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:10:41.581475,
5,1818424194057244672,59e33e07-e33e-4f13-bb45-399efd3e53b2,阳光木（木塑）、,"Sunshine Wood(WPC),",tonne,2024-07-24,2024-07-24,2029-07-23,China,,"Description: The product is a kind of wood plastic composite product (WPC), made from recycled plastics, and waste plant fibres (waste wood flour, bamboo flour, agricultural and forestry straw fibre powder, etc.) as the main raw materials, with the amount used being more than 80% of the total raw materials. The product features an aging-resistant surface, anti-bacterial and anti-mold properties, and can achieve superior flame retardancy. As green and healthy building materials, they are widely used in outdoor courtyards, outdoor landscape flooring, fences, gazebos, wall panels, and more. The products utilize original color mixing and surface treatment technology, providing a high simulation of natural wood-like colors and a matte effect. Through the innovation of interface compatibility technology between polymers and plant fibers, the product achieves enhanced mechanical load-bearing performance. The surface of the product is maintenance-free and has a durability of not less than 25 years. At the end of its lifecycle, or when dismantled and replaced, the materials can be recycled and crushed for 100% secondary use. The density of the product is 1.22 g/cm³.",The International EPD® System,,https://www.environdec.com/library/epd12997,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:11:27.207837,
6,1818424409006936064,45c27937-acfe-43ee-874c-007cdb8b3fff,"Kaleseramik 墙砖（品种）, Kaleseramik 墙砖（品种）","Kaleseramik Wall Tiles (Variety), Kaleseramik Wall Tiles (Variety)",kg,,,,,,"Description: Kaleseramik produces 2200 varieties of wall tiles in 60 different dimensions. Kaleseramik Wall tiles are primarily made of kaolin and clay, but they also include other raw materials such as marble, frit, dolomite, bentonite and quartz. The production technology of tiles is dry pressing. The required composition is blended with water to form uniform slurry. This slurry is then fed into spray driers to form uniform granules ready for compaction. These granules are then shaped to form the bisque or green body. This can be glazed or left unglazed depending on its intended use. The green ceramic body is fired at high temperatures, resulting in a hard body. Kaleseramik Wall Tiles are largely used as interior and exterior wall coverings. Interior applications are mainly in bathrooms and kitchens in residential applications while the exterior applications can include swimming pools, façades, commercial and industrial applications etc. For interior applications, ceramic wall tiles should be selected regarding the technical specifications such as PEI value, hardness, stain resistance, chemical resistance and easy cleaning, if they are to be used in the interiors of a residence. The tiles selected for exteriors should be frost resistant and have low water absorbency. For outdoor uses they normally have less than 3% water absorption but for internal applications this might rise to 16%. Depending on the use, ceramic tiles might be glazed to control abrasion and slip resistance.",The International EPD® System,,https://www.environdec.com/library/epd873,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:12:18.456617,
7,1818424524111220736,0e73ceda-788e-4109-bab8-09eb1011abec,钻石系列 (392),Diamond Series (392),tonne,2024-07-24,2024-07-24,2029-07-23,China,,"Description: The product is a kind of aluminum plastic product, consisting of aluminum alloy profile as the main ""core layer"" material, modified HDPE as the main ""exterior cladding layer"" material, and through the modification technology of the functional surface layer and the development of special adhesives, it achieves the plastic-clad metal profile with high weather resistance, high strength, and high adhesion. The product is a polymer material cladding on the surface of aluminum alloy, which not only achieves superior thermal insulation effect but also solves the bottleneck of aluminum alloy in the door and window filling thermal insulation, or the need for partition processing, etc., and also greatly enhances the service life of aluminum alloy, and its product life can reach more than 25 years. The outer surface layer of the product is the independently developed high weather-resistant functional polymer wood-like material layer, which breaks through from the field of wood-plastic to the field of metal materials, and makes the application end of the material technology break through the limitations of the wood-plastic single industry. The density of the product is 2.00 g/cm³.",The International EPD® System,,https://www.environdec.com/library/epd15630,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:12:45.899550,
8,1818424887006597120,4b3d7150-e147-41d8-b873-b8ef383993d3,Kaleseramik 瓷砖（上釉）、Kaleseramik 瓷砖（无釉）,"Kaleseramik Porcelain Tiles(Glazed), Kaleseramik Porcelain Tiles(NonGlazed)",kg,,,,,,"Description: Kaleseramik Porcelain Tiles are primarily made of clay, kaolin, and feldspar, along with other raw materials. They are produced using dry pressing technology. The required composition is blended with water to form slurry, which is then fed into spray driers to create uniform granules for compaction. These granules are shaped into a green body that may be glazed if needed. The green ceramic body is fired at high temperatures to produce a hard body. The Kale porcelain tiles come in glazed and non-glazed options with surfaces that are non-glazed matt, glossy, or anti-slip. They are available in various dimensions including 20x20cm, 30x30cm, 40x40cm, 30x60cm, 60x60cm, and 60x120cm. These tiles offer superior technical characteristics, colors, and patterns to meet the requirements of different projects. They are suitable for use in interiors, exterior façades, pools, public places, commercial buildings, and more, including floors, walls, and exterior facades of residential, public, educational, and cultural buildings, as well as outdoor facilities like gardens, terraces, pool sides, and recreation areas.",The International EPD® System,,https://www.environdec.com/library/epd874,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:14:12.420917,
9,1818425348338094080,a3340f82-f8e0-4b95-a9b2-ef9ebc79d598,搪瓷卫生洁具（GCVC）、细火泥卫生洁具（GCFFC）,"Vitreous China Sanitaryware(GCVC), Fine Fireclay Sanitaryware(GCFFC)",kg,,,,,,"Description: Sanitaryware is the generic term used to describe items which traditionally were made from pottery, such as WC’s, washbasins, and bidets installed within a bathroom or washroom. Vitreous China (VC) is a common material used for bathroom sanitaryware, such as console sinks and toilets. Vitreous China sanitaryware products are primarily made of clay, kaolin, feldspar, and quartz but they may also include small quantities of other raw materials. Its high gloss, stain-resistant surface is ideal for use in both bathrooms and kitchens. The casting slip made of these raw materials is prepared and cast into plaster molds to form a green body. The green body then undergoes a natural drying process and is given a smooth finish. Glazing is applied before firing at 1200°C to obtain Vitreous China sanitaryware with almost no water absorption. Fine Fireclay (FFC) sanitaryware involves the preparation of a casting slip from pre-fired or calcined clay, clay, kaolin, and other minor raw materials. The slip is cast into plaster molds to form a green body, which then undergoes natural drying and smoothing before glazing and firing at 1220°C to obtain fireclay sanitaryware with water absorption less than 0.5% of the dry weight. Areas of use include main pieces like WCs and basins, larger bathroom pieces like shower trays and bathtubs, and other pieces like bidets and pedestals.",The International EPD® System,,https://www.environdec.com/library/epd875,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:16:02.410147,
