,id,factor_id,property_name,property_value,unit,description,data_entry_by,formula
0,1818422100378263552,1818422100348768256,Weight,3.18,kg/m²,,吴宇森,
1,1818422100378263553,1818422100348768256,Post-consumer material,0.0,,,吴宇森,
2,1818422100378263554,1818422100348768256,Biogenic material,2.0,,,吴宇森,
3,1818422100378263555,1818422100348768256,Packaging Weight,0.0723,kg/m²,,吴宇森,
4,1818422100378263556,1818422100348768256,Packaging Weight-% (versus the product),2.22,,,吴宇森,
5,1818422100378263557,1818422100348768256,Packaging Weight biogenic carbon,0.0205,kg,,吴宇森,
6,1818422650717085696,1818422650695979008,PVC ( Emulsion & Suspension),1.15,kg/m²,,吴宇森,
7,1818422650717085697,1818422650695979008,Plasticizers,0.492,kg/m²,,吴宇森,
8,1818422650717085698,1818422650695979008,Epoxidised soya bean oil,0.22,kg/m²,,吴宇森,
9,1818422650717085699,1818422650695979008,Mineral fillers,0.186,kg/m²,,吴宇森,
10,1818422650717085700,1818422650695979008,Stabilizer CaZn,0.026,kg/m²,,吴宇森,
11,1818422650717085701,1818422650695979008,Pigments,0.097,kg/m²,,吴宇森,
12,1818422650717085702,1818422650695979008,Surface Treatment,0.042,kg/m²,,吴宇森,
13,1818422650717085703,1818422650695979008,Additives,0.024,kg/m²,,吴宇森,
14,1818422650717085704,1818422650695979008,Glass reinforcement,0.08,kg/m²,,吴宇森,
15,1818422650717085705,1818422650695979008,Flame Retardant,0.179,kg/m²,,吴宇森,
16,1818422650717085706,1818422650695979008,Titanium Dioxide,0.001,kg/m²,,吴宇森,
17,1818422650717085707,1818422650695979008,Calendered underlay,1.0,kg/m²,,吴宇森,
18,1818422650717085708,1818422650695979008,TOTAL (Product components),3.2,kg/m²,,吴宇森,
19,1818422650717085709,1818422650695979008,Product Packaging Cardboard,0.0164,kg/m²,,吴宇森,
20,1818422650717085710,1818422650695979008,Product Packaging Paper Foil,0.00887,kg/m²,,吴宇森,
21,1818422650717085711,1818422650695979008,Product Packaging PP (Disc),0.0017,kg/m²,,吴宇森,
22,1818422650717085712,1818422650695979008,Product Packaging PP (Plug),0.0017,kg/m²,,吴宇森,
23,1818422650717085713,1818422650695979008,TOTAL (Packaging materials),0.0287,kg/m²,,吴宇森,
24,1818425837612179456,1818425837586878464,Weight,2.9,kg/m²,,吴宇森,
25,1818425837612179457,1818425837586878464,Post-consumer material,0.0,weight,,吴宇森,
26,1818425837612179458,1818425837586878464,Biogenic material,2.0,weight,,吴宇森,
27,1818425837612179459,1818425837586878464,Packaging materials Weight,0.0722,kg/m²,,吴宇森,
28,1818425837612179460,1818425837586878464,Packaging materials Weight-% (versus the product),2.5,,,吴宇森,
29,1818425837612179461,1818425837586878464,Packaging materials Weight biogenic carbon,0.0205,kg,,吴宇森,
30,1818425979455152128,1818425979434045440,Weight,2.4,kg/m²,,吴宇森,
31,1818425979455152129,1818425979434045440,Post-consumer material,0.0,,,吴宇森,
32,1818425979455152130,1818425979434045440,Renewable material,83.0,,,吴宇森,
33,1818425979455152131,1818425979434045440,Weight (versus the product),7.1,,,吴宇森,
