id,factor_id,uuid,value,ghg_type,boundary,formula,description
1818421412201893888,1818421412189310976,f592180e-1669-4abb-93f9-5f713867f9b8,,CO2,A1-A3,,
1818421412201893889,1818421412189310976,f592180e-1669-4abb-93f9-5f713867f9b8,,Total,A1-A3,,
1818421412201893890,1818421412189310976,f592180e-1669-4abb-93f9-5f713867f9b8,,CO2,A4-A5,,
1818421412201893891,1818421412189310976,f592180e-1669-4abb-93f9-5f713867f9b8,,Total,A4-A5,,
1818421412201893892,1818421412189310976,f592180e-1669-4abb-93f9-5f713867f9b8,,CO2,B1-B7,,
1818421412201893893,1818421412189310976,f592180e-1669-4abb-93f9-5f713867f9b8,,Total,B1-B7,,
1818421412201893894,1818421412189310976,f592180e-1669-4abb-93f9-5f713867f9b8,,CO2,C1-C4,,
1818421412201893895,1818421412189310976,f592180e-1669-4abb-93f9-5f713867f9b8,,Total,C1-C4,,
1818421412201893896,1818421412189310976,f592180e-1669-4abb-93f9-5f713867f9b8,,CO2,D,,
1818421412201893897,1818421412189310976,f592180e-1669-4abb-93f9-5f713867f9b8,,Total,D,,
1818421582729711616,1818421582687768576,c69e969e-4e62-4e10-aaa7-d05f18ea0769,,CO2,A1-A3,,
1818421582729711617,1818421582687768576,c69e969e-4e62-4e10-aaa7-d05f18ea0769,,Total,A1-A3,,
1818421582729711618,1818421582687768576,c69e969e-4e62-4e10-aaa7-d05f18ea0769,,CO2,A4-A5,,
1818421582729711619,1818421582687768576,c69e969e-4e62-4e10-aaa7-d05f18ea0769,,Total,A4-A5,,
1818421582729711620,1818421582687768576,c69e969e-4e62-4e10-aaa7-d05f18ea0769,,CO2,B1-B7,,
1818421582729711621,1818421582687768576,c69e969e-4e62-4e10-aaa7-d05f18ea0769,,Total,B1-B7,,
1818421582729711622,1818421582687768576,c69e969e-4e62-4e10-aaa7-d05f18ea0769,,CO2,C1-C4,,
1818421582729711623,1818421582687768576,c69e969e-4e62-4e10-aaa7-d05f18ea0769,,Total,C1-C4,,
1818421582729711624,1818421582687768576,c69e969e-4e62-4e10-aaa7-d05f18ea0769,,CO2,D,,
1818421582729711625,1818421582687768576,c69e969e-4e62-4e10-aaa7-d05f18ea0769,,Total,D,,
1818421634470645760,1818421634449674240,486a8510-2a71-4cf4-ba86-6f21391cffe5,,CO2,A1-A3,,
1818421634470645761,1818421634449674240,486a8510-2a71-4cf4-ba86-6f21391cffe5,,Total,A1-A3,,
1818421634470645762,1818421634449674240,486a8510-2a71-4cf4-ba86-6f21391cffe5,,CO2,A4-A5,,
1818421634470645763,1818421634449674240,486a8510-2a71-4cf4-ba86-6f21391cffe5,,Total,A4-A5,,
1818421634470645764,1818421634449674240,486a8510-2a71-4cf4-ba86-6f21391cffe5,,CO2,B1-B7,,
1818421634470645765,1818421634449674240,486a8510-2a71-4cf4-ba86-6f21391cffe5,,Total,B1-B7,,
1818421634470645766,1818421634449674240,486a8510-2a71-4cf4-ba86-6f21391cffe5,,CO2,C1-C4,,
1818421634470645767,1818421634449674240,486a8510-2a71-4cf4-ba86-6f21391cffe5,,Total,C1-C4,,
1818421634470645768,1818421634449674240,486a8510-2a71-4cf4-ba86-6f21391cffe5,,CO2,D,,
1818421634470645769,1818421634449674240,486a8510-2a71-4cf4-ba86-6f21391cffe5,,Total,D,,
1818421710400131072,1818421710374965248,a072548b-895b-48df-ab59-f80668bfe27c,,CO2,A1-A3,,
1818421710400131073,1818421710374965248,a072548b-895b-48df-ab59-f80668bfe27c,,Total,A1-A3,,
1818421710400131074,1818421710374965248,a072548b-895b-48df-ab59-f80668bfe27c,,CO2,A4-A5,,
1818421710400131075,1818421710374965248,a072548b-895b-48df-ab59-f80668bfe27c,,Total,A4-A5,,
1818421710400131076,1818421710374965248,a072548b-895b-48df-ab59-f80668bfe27c,,CO2,B1-B7,,
1818421710400131077,1818421710374965248,a072548b-895b-48df-ab59-f80668bfe27c,,Total,B1-B7,,
1818421710400131078,1818421710374965248,a072548b-895b-48df-ab59-f80668bfe27c,,CO2,C1-C4,,
1818421710400131079,1818421710374965248,a072548b-895b-48df-ab59-f80668bfe27c,,Total,C1-C4,,
1818421710400131080,1818421710374965248,a072548b-895b-48df-ab59-f80668bfe27c,,CO2,D,,
1818421710400131081,1818421710374965248,a072548b-895b-48df-ab59-f80668bfe27c,,Total,D,,
1818421745045082112,1818421745028304896,d0b0fd36-ab93-4801-8e2f-4d176deb7afd,,CO2,A1-A3,,
1818421745045082113,1818421745028304896,d0b0fd36-ab93-4801-8e2f-4d176deb7afd,,Total,A1-A3,,
1818421745045082114,1818421745028304896,d0b0fd36-ab93-4801-8e2f-4d176deb7afd,,CO2,A4-A5,,
1818421745045082115,1818421745028304896,d0b0fd36-ab93-4801-8e2f-4d176deb7afd,,Total,A4-A5,,
1818421745045082116,1818421745028304896,d0b0fd36-ab93-4801-8e2f-4d176deb7afd,,CO2,B1-B7,,
1818421745045082117,1818421745028304896,d0b0fd36-ab93-4801-8e2f-4d176deb7afd,,Total,B1-B7,,
1818421745045082118,1818421745028304896,d0b0fd36-ab93-4801-8e2f-4d176deb7afd,,CO2,C1-C4,,
1818421745045082119,1818421745028304896,d0b0fd36-ab93-4801-8e2f-4d176deb7afd,,Total,C1-C4,,
1818421745045082120,1818421745028304896,d0b0fd36-ab93-4801-8e2f-4d176deb7afd,,CO2,D,,
1818421745045082121,1818421745028304896,d0b0fd36-ab93-4801-8e2f-4d176deb7afd,,Total,D,,
1818421782957395968,1818421782944813056,59c6e03d-f843-48b4-95df-91163a36505d,,CO2,A1-A3,,
1818421782957395969,1818421782944813056,59c6e03d-f843-48b4-95df-91163a36505d,,Total,A1-A3,,
1818421782957395970,1818421782944813056,59c6e03d-f843-48b4-95df-91163a36505d,,CO2,A4-A5,,
1818421782957395971,1818421782944813056,59c6e03d-f843-48b4-95df-91163a36505d,,Total,A4-A5,,
1818421782957395972,1818421782944813056,59c6e03d-f843-48b4-95df-91163a36505d,,CO2,B1-B7,,
1818421782957395973,1818421782944813056,59c6e03d-f843-48b4-95df-91163a36505d,,Total,B1-B7,,
1818421782957395974,1818421782944813056,59c6e03d-f843-48b4-95df-91163a36505d,,CO2,C1-C4,,
1818421782957395975,1818421782944813056,59c6e03d-f843-48b4-95df-91163a36505d,,Total,C1-C4,,
1818421782957395976,1818421782944813056,59c6e03d-f843-48b4-95df-91163a36505d,,CO2,D,,
1818421782957395977,1818421782944813056,59c6e03d-f843-48b4-95df-91163a36505d,,Total,D,,
1818421936104017920,1818421936074657792,b5701a7c-e629-4fb5-8caf-bc34d360285d,,CO2,A1-A3,,
1818421936104017921,1818421936074657792,b5701a7c-e629-4fb5-8caf-bc34d360285d,,Total,A1-A3,,
1818421936104017922,1818421936074657792,b5701a7c-e629-4fb5-8caf-bc34d360285d,,CO2,A4-A5,,
1818421936104017923,1818421936074657792,b5701a7c-e629-4fb5-8caf-bc34d360285d,,Total,A4-A5,,
1818421936104017924,1818421936074657792,b5701a7c-e629-4fb5-8caf-bc34d360285d,,CO2,B1-B7,,
1818421936104017925,1818421936074657792,b5701a7c-e629-4fb5-8caf-bc34d360285d,,Total,B1-B7,,
1818421936104017926,1818421936074657792,b5701a7c-e629-4fb5-8caf-bc34d360285d,,CO2,C1-C4,,
1818421936104017927,1818421936074657792,b5701a7c-e629-4fb5-8caf-bc34d360285d,,Total,C1-C4,,
1818421936104017928,1818421936074657792,b5701a7c-e629-4fb5-8caf-bc34d360285d,,CO2,D,,
1818421936104017929,1818421936074657792,b5701a7c-e629-4fb5-8caf-bc34d360285d,,Total,D,,
1818422100373934080,1818422100348768256,16d2ddd3-38be-45c4-8256-d5ada9d42bc9,6.12,CO2,A1-A3,,
1818422100373934081,1818422100348768256,16d2ddd3-38be-45c4-8256-d5ada9d42bc9,6.12,Total,A1-A3,,
1818422100373934082,1818422100348768256,16d2ddd3-38be-45c4-8256-d5ada9d42bc9,1.846,CO2,A4-A5,,
1818422100373934083,1818422100348768256,16d2ddd3-38be-45c4-8256-d5ada9d42bc9,1.846,Total,A4-A5,,
1818422100373934084,1818422100348768256,16d2ddd3-38be-45c4-8256-d5ada9d42bc9,0.0919,CO2,B1-B7,,
1818422100373934085,1818422100348768256,16d2ddd3-38be-45c4-8256-d5ada9d42bc9,0.0919,Total,B1-B7,,
1818422131608915968,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,CO2,A1-A3,,
1818422131608915969,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,Total,A1-A3,,
1818422131608915970,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,CO2,A4-A5,,
1818422131608915971,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,Total,A4-A5,,
1818422131608915972,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,CO2,B1-B7,,
1818422131608915973,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,Total,B1-B7,,
1818422131608915974,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,CO2,C1-C4,,
1818422131608915975,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,Total,C1-C4,,
1818422131608915976,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,CO2,D,,
1818422131608915977,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,Total,D,,
1818422272063574016,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,CO2,A1-A3,,
1818422272063574017,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,Total,A1-A3,,
1818422272063574018,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,CO2,A4-A5,,
1818422272063574019,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,Total,A4-A5,,
1818422272063574020,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,CO2,B1-B7,,
1818422272063574021,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,Total,B1-B7,,
1818422272063574022,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,CO2,C1-C4,,
1818422272063574023,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,Total,C1-C4,,
1818422272063574024,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,CO2,D,,
1818422272063574025,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,Total,D,,
1818422298600935424,1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,CO2,A1-A3,,
1818422298600935425,1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,Total,A1-A3,,
1818422298600935426,1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,CO2,A4-A5,,
1818422298600935427,1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,Total,A4-A5,,
1818422298600935428,1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,CO2,B1-B7,,
