id,uuid,name_zh,name_en,unit,sampling_start,sampling_end,valid_time,location,class_code,description,source_description,source_original_id,source_url,classification_system,source,source_type,completeness_type,first_class,second_class,third_class,data_entry_by,location_id,synonyms,data_version,create_time,class_id
1818421412189310976,f592180e-1669-4abb-93f9-5f713867f9b8,,"Gypsum Plaster (Knauf), Gypsum Products (Knauf)",Not specified in the provided text,,,,,,,The International EPD® System,,www.environdec.com:library:epd4774.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:00:23.959533,
1818421582687768576,c69e969e-4e62-4e10-aaa7-d05f18ea0769,,"DESSO Grezzo(EcoBase), DESSO Grezzo Bloom(EcoBase), DESSO Grezzo Vivid(EcoBase)",m²,,,2028-04-17,,,"Description: Tarkett offers integrated solutions for floorings, able to meet the particular needs of customers. Their wide range of designs, colors, and models provides an infinite series of possibilities, contributing to creating a positive environment and a better quality of life for people. Tarkett operates with the utmost respect for the environment towards the realization of eco-friendly products. Cradle-to-Cradle principles are the basis of the design and production of every solution. Particularly, the lifecycle analysis is used to continuously improve the production process, and thus the products until their use stage, disposal, and recycling. The development of products that can be reused within internal production cycles, or external ones in case of other individuals, has been an integral part of the business strategy aimed at sustainability for many years.

Product Name: DESSO Grezzo, DESSO Grezzo Bloom, and DESSO Grezzo Vivid

Product Description: Loose-lay carpet tiles (EN 1307) with DESSO EcoBase® backing developed by Tarkett. These carpet tiles feature a 100% recyclable DESSO EcoBase®1 backing and PA6 yarn. The service lifetime recommended by Tarkett is 10 years.",The International EPD® System,,www.environdec.com:library:epd8952.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:01:04.609021,
1818421634449674240,486a8510-2a71-4cf4-ba86-6f21391cffe5,,Weathercoat Ultra (35110),m²,,,,Oman,,"Description: Weathercoat Ultra is a pure acrylic emulsion based exterior wall coating formulated with high-quality weather-durable pigments and reinforced with antimicrobial agents. It is a VOC-free, green product that offers excellent outdoor durability and a high Solar Reflectance Index (SRI) value, helping to keep building interiors cool. The coating is highly washable, has good resistance to alkalis, and is resistant to fungus and algae. Additionally, it covers hairline cracks and reduces carbonation of concrete. Suitable for use as a finish coat on masonry substrates, it comes in a smooth finish with sheen variants of Matt, Silk, and Gloss, and a wide range of colors.",The International EPD® System,,www.environdec.com:library:epd9870.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:01:16.949976,
1818421710374965248,a072548b-895b-48df-ab59-f80668bfe27c,,"Gypsum Plaster (Knauf), Gypsum Products (Knauf)",m²,,,,,,,The International EPD® System,,www.environdec.com:library:epd4603.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:01:35.052816,
1818421745028304896,d0b0fd36-ab93-4801-8e2f-4d176deb7afd,,Galvanized Steel Coil,kg,,,,,,,The International EPD® System,,www.environdec.com:library:epd4561.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:01:43.314829,
1818421782944813056,59c6e03d-f843-48b4-95df-91163a36505d,,Aluminium Extrusion Profiles (SP05427),,,,,,,,The International EPD® System,,www.environdec.com:library:epd7455.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:01:52.354545,
1818421936074657792,b5701a7c-e629-4fb5-8caf-bc34d360285d,,"Asphalt Mixtures(HMA), Asphalt Mixtures(WMA), Asphalt Mixtures(SA), Asphalt Mixtures(CA), Asphalt Concrete(V), Asphalt Concrete(A), Asphalt Concrete(P), Asphalt Concrete(PD), Stone Mastic Asphalt(SMA), Noise Resistant Asphalt Mixtures(TM), Light Traffic Load Asphalt Mixtures(L), Normal Traffic Load Asphalt Mixtures(N), Heavy Traffic Load Asphalt Mixtures(S)","kg

In the context provided",2024-07-10,2024-07-10,2029-07-05,Vilnius,,"Description: Asphalt plant manufactures asphalt mixtures for a variety of different purposes, ranging from highways, roads and city streets to industrial pavements. The asphalt mixtures that can be produced at the declared plant include hot mix asphalt (HMA), warm mix asphalt (WMA), soft asphalt (SA) and cold asphalt. They are also grouped by their application in the pavement. This plant can manufacture asphalt concrete (AC) for surface (V), binder (A), base (P) and surface-base (PD) layers, stone mastic asphalt (SMA), noise-resistant (TM) and for traffic loads - light (L), normal (N) and heavy (S). Mixtures can be produced with paving grade (PG) bitumen or polymer-modified bitumen (PMB) and with reclaimed asphalt (RA) or without. The main components in asphalt mixtures are coarse and fine aggregates, filler and bitumen. Other materials and additives are added to ensure the durability of the layers, their content varies depending on the asphalt mixture type. These include cellulose fiber which normally constitutes 0.3% of mineral aggregates' weight. Reclaimed asphalt is added to asphalt mixtures to replace virgin aggregates and virgin bitumen.",The International EPD® System,,www.environdec.com:library:epd14179.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:02:28.863572,
1818422100348768256,16d2ddd3-38be-45c4-8256-d5ada9d42bc9,,"Tapiflex Excellence 17db, Tapiflex Excellence 19db, Tapiflex Platinium 100, Tapiflex Stairs, Ruby 70 Acoustic",m²,,,2029-07-09,Europe,,"Description: Tarkett's Tapiflex is a heterogeneous compact resilient floor covering. Developed with over 130 years of experience, Tarkett offers integrated flooring solutions tailored to meet the specific needs of customers. The product line includes various models such as Tapiflex Excellence 17db, Tapiflex Excellence 19db, Tapiflex Platinium 100, Tapiflex Stairs, and Ruby 70 Acoustic. The recommended service lifetime for these floor coverings is 25 years. The company emphasizes sustainability and environmental responsibility, incorporating Cradle-to-Cradle principles into its design and production processes. Tarkett is committed to creating eco-friendly products and operates with a focus on the lifecycle analysis of its products, from production through disposal and recycling.",The International EPD® System,,www.environdec.com:library:epd1347.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:03:08.028961,
1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,Aluminium Extrusion Profiles (Produced by Hydro Extrusion),,,,,,,,The International EPD® System,,www.environdec.com:library:epd7454.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:03:15.478901,
1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,"DESSO Fuse(DESSO EcoBase1, Econyl), DESSO Fields(DESSO EcoBase1, Econyl)",m²,,,2028-03-16,"None

The provided text does not specify any geographical scope for the product",,"Description: Tarkett offers integrated solutions for floorings, able to meet the particular needs of customers. With an international coverage and a wide range of products, the company has over 130 years of experience in providing integrated solutions for floorings to professionals and end-users. Tarkett's commitment to the environment is woven throughout its business, with Cradle-to-Cradle principles as the basis of the design and production of every solution. The lifecycle analysis is used to continuously improve the production process and products until their use stage, disposal, and recycling. The development of products that can be reused within internal production cycles, or external ones in case of other individuals, has been an integral part of the business strategy aimed at sustainability for many years.

Product Description: Loose-lay carpet tiles (EN 1307) with DESSO EcoBase® backing developed by Tarkett. These carpet tiles feature a 100% recyclable DESSO EcoBase® backing and a 100% regenerated solution dyed Nylon yarn (Econyl). The service lifetime recommended by Tarkett is 10 years.",The International EPD® System,,www.environdec.com:library:epd8559.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:03:48.959748,
1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,Hydro RESTORE Innovative Feltre Billet (SP05574),,,,,,,,The International EPD® System,,www.environdec.com:library:epd7456.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:03:55.293920,
1818422370055098368,28cdd3cf-0f96-4c16-9a16-e8f3228e7206,,"Gypsum Plaster (Knauf), Gypsum Products (Knauf)",kg,,,,,,,The International EPD® System,,www.environdec.com:library:epd4942.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:04:12.332539,
1818422400216338432,fffb1d45-a708-44dc-a610-4f7870bce8cf,,"CLS Rck30 S4 XC2 D25 CEM III/B 42,5 NLH/SR CAM",,,,,,,,The International EPD® System,,www.environdec.com:library:epd15714.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:04:19.523305,
1818422462002630656,548322fb-e4f8-47ae-9ef4-1de1922a8be5,,"External Filler, External Filler(35 Ltr), External Filler(18 Ltr)",kg,,,,Oman,,"Description: External Filler is a water-based, ready-to-use exterior filler formulated with a special Nano Emulsion of 100% pure acrylic binder. Suitable for application on surfaces such as concrete, plasterboard walls and ceilings, brick, or blockwork, both exterior and interior. It can be overcoated with various paint finishes. The filler is white, has a matt sheen, and comes in pack sizes of 3.5 Ltr and 18 Ltr. It offers a theoretical coverage of 0.4 Sqm/Ltr at a recommended dry film thickness of 1 mm per coat. Drying times are 3 hours touch dry, with a minimum overcoating interval of 10 hours. Adequate ventilation is required during application and drying, and it should not be applied when humidity exceeds 95%. It is ideal for filling surface irregularities up to 2 mm and can be used for renovation and refurbishment projects after applying Plastaseal Penetrating Sealer. Consultation with a structural engineer is recommended for buildings with live cracks.",The International EPD® System,,www.environdec.com:library:epd10781.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:04:34.254315,
1818422650695979008,ea0fc40b-6b12-47dd-8bda-306daf32c39b,,Acczent Platinium 100,m²,2024-07-09,2024-07-09,2029-07-09,Europe,,Description: Acczent Platinium 100 is a heterogeneous compact resilient floor covering developed by Tarkett. The service lifetime recommended by Tarkett is 25 years.,The International EPD® System,,www.environdec.com:library:epd14478.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:05:19.242002,
1818422677535330304,bfa1a081-6b01-4505-9220-1640ee938671,,"CEM IV 42,5 R SR CAM",,,,,,,,The International EPD® System,,www.environdec.com:library:epd15798.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:05:25.641872,
1818422697118535680,f2e7edbc-11cc-449f-998d-a129d6546f06,,Latte ESL Parzialmente Scremato Senza Lattosio da Agricoltura Biologica,,,,,,,,The International EPD® System,,www.environdec.com:library:epd1043.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:05:30.310942,
1818422745080401920,b37b9cfe-b1f4-489a-a31a-1b2d0e29c4ef,,"Supreme Advanced EmulsionSilk (35110), Supreme A R Primer, Supreme PVA Primer, Supreme Stucco Putty",m²,,,,Oman,,"Description: This is a premium product formulated using 100% Pure Acrylic polymer and containing titanium dioxide and other high-grade, light-fast, alkali-resisting pigments. It is odourless and environmentally friendly. Supreme Advanced Emulsion has outstanding performance with respect to the removal of common stains and shows excellent resistance to microbial growth. It does not allow the colonial growth of bacteria, ensuring the coated surface remains hygienic.",The International EPD® System,,www.environdec.com:library:epd10783.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:05:41.745258,
1818422766177751040,3428af76-669a-46bb-8b77-37a4eed34dcf,,Aluminium Billet,,,,,,,,The International EPD® System,,www.environdec.com:library:epd5427.pdf,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:05:46.775069,
