id,factor_id,property_name,property_value,unit,description,data_entry_by,formula
1818421582738235392,1818421582687768576,Non-woven,3.0,%,,吴宇森,
1818421582738235393,1818421582687768576,Yarn PA6,16.0,%,,吴宇森,
1818421582738235394,1818421582687768576,SBR-compound,6.0,%,,吴宇森,
1818421582738235395,1818421582687768576,Aluminium,13.0,%,,吴宇森,
1818421582738235396,1818421582687768576,Primary chalk,3.0,%,,吴宇森,
1818421582738235397,1818421582687768576,Glass scrim,1.0,%,,吴宇森,
1818421582738235398,1818421582687768576,EcoBase (w. recycled chalk)*,58.0,%,,吴宇森,
1818421582738235399,1818421582687768576,Cardboard box,0.109,kg,,吴宇森,
1818421582738235400,1818421582687768576,Wooden pallet,0.1,kg,,吴宇森,
1818422100378263552,1818422100348768256,Weight,3.18,kg/m²,,吴宇森,
1818422100378263553,1818422100348768256,Post-consumer material,0.0,%,,吴宇森,
1818422100378263554,1818422100348768256,Biogenic material,2.0,%,,吴宇森,
1818422100378263555,1818422100348768256,Packaging Weight,0.0723,kg/m²,,吴宇森,
1818422100378263556,1818422100348768256,Packaging Weight-% (versus the product),2.22,%,,吴宇森,
1818422100378263557,1818422100348768256,Packaging Weight biogenic carbon,0.0205,kg C/kg,,吴宇森,
1818422650717085696,1818422650695979008,PVC ( Emulsion & Suspension),1.15,kg/m²,,吴宇森,
1818422650717085697,1818422650695979008,Plasticizers,0.492,kg/m²,,吴宇森,
1818422650717085698,1818422650695979008,Epoxidised soya bean oil,0.22,kg/m²,,吴宇森,
1818422650717085699,1818422650695979008,Mineral fillers,0.186,kg/m²,,吴宇森,
1818422650717085700,1818422650695979008,Stabilizer CaZn,0.026,kg/m²,,吴宇森,
1818422650717085701,1818422650695979008,Pigments,0.097,kg/m²,,吴宇森,
1818422650717085702,1818422650695979008,Surface Treatment,0.042,kg/m²,,吴宇森,
1818422650717085703,1818422650695979008,Additives,0.024,kg/m²,,吴宇森,
1818422650717085704,1818422650695979008,Glass reinforcement,0.08,kg/m²,,吴宇森,
1818422650717085705,1818422650695979008,Flame Retardant,0.179,kg/m²,,吴宇森,
1818422650717085706,1818422650695979008,Titanium Dioxide,0.001,kg/m²,,吴宇森,
1818422650717085707,1818422650695979008,Calendered underlay,1.0,kg/m²,,吴宇森,
1818422650717085708,1818422650695979008,TOTAL (Product components),3.2,kg/m²,,吴宇森,
1818422650717085709,1818422650695979008,Product Packaging Cardboard,0.0164,kg/m²,,吴宇森,
1818422650717085710,1818422650695979008,Product Packaging Paper Foil,0.00887,kg/m²,,吴宇森,
1818422650717085711,1818422650695979008,Product Packaging PP (Disc),0.0017,kg/m²,,吴宇森,
1818422650717085712,1818422650695979008,Product Packaging PP (Plug),0.0017,kg/m²,,吴宇森,
1818422650717085713,1818422650695979008,TOTAL (Packaging materials),0.0287,kg/m²,,吴宇森,
1818425054636285952,1818425054606790656,Weight,0.968,kg/m²,,吴宇森,
1818425054636285953,1818425054606790656,Weight,0.414,kg/m²,,吴宇森,
1818425054636285954,1818425054606790656,Weight,0.018,kg/m²,,吴宇森,
1818425054636285955,1818425054606790656,Weight,0.17,kg/m²,,吴宇森,
1818425054636285956,1818425054606790656,Weight,0.018,kg/m²,,吴宇森,
1818425054636285957,1818425054606790656,Weight,0.035,kg/m²,,吴宇森,
1818425054636285958,1818425054606790656,Weight,0.043,kg/m²,,吴宇森,
1818425054636285959,1818425054606790656,Weight,0.000126,kg/m²,,吴宇森,
1818425054636285960,1818425054606790656,Weight,1.0,kg/m²,,吴宇森,
1818425054636285961,1818425054606790656,Weight,2.75,kg/m²,,吴宇森,
1818425054636285962,1818425054606790656,Weight,0.0164,kg/m²,,吴宇森,
1818425054636285963,1818425054606790656,Weight,0.00887,kg/m²,,吴宇森,
1818425054636285964,1818425054606790656,Weight,0.0017,kg/m²,,吴宇森,
1818425054636285965,1818425054606790656,Weight,0.0017,kg/m²,,吴宇森,
1818425054636285966,1818425054606790656,Weight,0.0287,kg/m²,,吴宇森,
1818425570850250752,1818425570816561152,Gypsum,60.0,%,,吴宇森,
1818425570850250753,1818425570816561152,Gypsum,70.0,%,,吴宇森,
1818425570850250754,1818425570816561152,Water,25.0,%,,吴宇森,
1818425570850250755,1818425570816561152,Water,35.0,%,,吴宇森,
1818425570850250756,1818425570816561152,Fleece,3.0,%,,吴宇森,
1818425570850250757,1818425570816561152,Fleece,4.0,%,,吴宇森,
