id,property_name,property_symbol,property_unit,description,data_entry_by
1818421582742429696,,Non-woven,%,,吴宇森
1818421582742429697,,Yarn PA6,%,,吴宇森
1818421582742429698,,SBR-compound,%,,吴宇森
1818421582742429699,,Aluminium,%,,吴宇森
1818421582742429700,,Primary chalk,%,,吴宇森
1818421582742429701,,Glass scrim,%,,吴宇森
1818421582742429702,,EcoBase (w. recycled chalk)*,%,,吴宇森
1818421582742429703,,Cardboard box,kg,,吴宇森
1818421582742429704,,Wooden pallet,kg,,吴宇森
1818422100382457856,,Weight,kg/m²,,吴宇森
1818422100382457857,,Post-consumer material,%,,吴宇森
1818422100382457858,,Biogenic material,%,,吴宇森
1818422100382457859,,Packaging Weight,kg/m²,,吴宇森
1818422100382457860,,Packaging Weight-% (versus the product),%,,吴宇森
1818422100382457861,,Packaging Weight biogenic carbon,kg C/kg,,吴宇森
1818422650721280000,,PVC ( Emulsion & Suspension),kg/m²,,吴宇森
1818422650721280001,,Plasticizers,kg/m²,,吴宇森
1818422650721280002,,Epoxidised soya bean oil,kg/m²,,吴宇森
1818422650721280003,,Mineral fillers,kg/m²,,吴宇森
1818422650721280004,,Stabilizer CaZn,kg/m²,,吴宇森
1818422650721280005,,Pigments,kg/m²,,吴宇森
1818422650721280006,,Surface Treatment,kg/m²,,吴宇森
1818422650721280007,,Additives,kg/m²,,吴宇森
1818422650721280008,,Glass reinforcement,kg/m²,,吴宇森
1818422650721280009,,Flame Retardant,kg/m²,,吴宇森
1818422650721280010,,Titanium Dioxide,kg/m²,,吴宇森
1818422650721280011,,Calendered underlay,kg/m²,,吴宇森
1818422650721280012,,TOTAL (Product components),kg/m²,,吴宇森
1818422650721280013,,Product Packaging Cardboard,kg/m²,,吴宇森
1818422650721280014,,Product Packaging Paper Foil,kg/m²,,吴宇森
1818422650721280015,,Product Packaging PP (Disc),kg/m²,,吴宇森
1818422650721280016,,Product Packaging PP (Plug),kg/m²,,吴宇森
1818422650721280017,,TOTAL (Packaging materials),kg/m²,,吴宇森
1818425570854445056,,Gypsum,%,,吴宇森
1818425570854445058,,Water,%,,吴宇森
1818425570854445060,,Fleece,%,,吴宇森
1818425570854445062,,Additivies,%,,吴宇森
1818425688664055808,,Non_woven_PET_PP,%,,吴宇森
1818425688664055809,,Yarn_PA6,%,,吴宇森
1818425688664055810,,SBR_compound,%,,吴宇森
1818425688664055811,,Aluminium_trihydrate,%,,吴宇森
1818425688664055812,,Primary_chalk,%,,吴宇森
1818425688664055813,,Glass_scrim,%,,吴宇森
1818425688664055814,,EcoBase_recycled_chalk,%,,吴宇森
1818425688664055815,,Cardboard_box,kg,,吴宇森
1818425688664055816,,Wooden_pallet,kg,,吴宇森
1818425837616373761,,Post-consumer material,weight-%,,吴宇森
1818425837616373762,,Biogenic material,weight-% and kg C/kg,,吴宇森
1818425837616373763,,Packaging materials Weight,kg/m²,,吴宇森
1818425837616373764,,Packaging materials Weight-% (versus the product),%,,吴宇森
1818425837616373765,,Packaging materials Weight biogenic carbon,kg C/kg,,吴宇森
1818425979459346434,,Renewable material,%,,吴宇森
1818425979459346435,,Weight (versus the product),%,,吴宇森
1818426521405366272,,PVC_Suspension,kg/m²,,吴宇森
1818426521405366273,,Plasticizer,kg/m²,,吴宇森
1818426521405366274,,Epoxidised_soya_bean_oil,kg/m²,,吴宇森
1818426521405366275,,Stabilizer_CaZn,kg/m²,,吴宇森
1818426521405366277,,Surface_Treatment,kg/m²,,吴宇森
1818426521405366278,,Flame_Retardent,kg/m²,,吴宇森
1818426521405366279,,Calendered_Underlay,kg/m²,,吴宇森
1818426521405366281,,Product_Packaging_Cardboard,kg/m²,,吴宇森
1818426521405366282,,Product_Packaging_Paper_(Foil),kg/m²,,吴宇森
1818426521405366283,,Product_Packaging_PP_(Disc),kg/m²,,吴宇森
1818426521405366284,,TOTAL_Packaging,kg/m²,,吴宇森
1818428491583201280,,Polymers_Weight,%,,吴宇森
1818428491583201282,,Fillers_Weight,%,,吴宇森
1818428491583201284,,Resins_Weight,%,,吴宇森
1818428491583201286,,Pigments_Weight,%,,吴宇森
1818428491583201288,,Additives_Weight,%,,吴宇森
1818428491583201290,,Fibreboard_Weight,kg,,吴宇森
1818428491583201291,,Fibreboard_Weight,%,,吴宇森
1818428491583201292,,Fibreboard_Biogenic_Carbon,kg C/kg,,吴宇森
1818428491583201293,,Plastic_Weight,kg,,吴宇森
1818428491583201294,,Plastic_Weight,%,,吴宇森
1818428491583201295,,Metal_Weight,kg,,吴宇森
1818428660861116417,,Renewable material,weight-%,,吴宇森
1818428786157559808,,Additives,%,,吴宇森
1818428786157559809,,Solvents,%,,吴宇森
1818428786157559810,,Pigments/colorants,%,,吴宇森
1818428786157559811,,Resins,%,,吴宇森
1818428786157559812,,Weight,%,,吴宇森
1818431861698076673,,Extenders,%,,吴宇森
1818433200721240064,,Aluminium_supplier_1_Weight,%,,吴宇森
1818433200721240065,,Aluminium_supplier_1_Weight_Versus_Total,%,,吴宇森
1818433200721240066,,Aluminium_supplier_2_Weight,%,,吴宇森
1818433200721240067,,Aluminium_supplier_2_Weight_Versus_Total,%,,吴宇森
1818433200721240068,,Paint_Weight,%,,吴宇森
1818433200721240069,,Polyoxymethylene_POM_Weight,%,,吴宇森
1818433200721240070,,Steel_Weight,%,,吴宇森
1818433200721240071,,TOTAL_Weight,%,,吴宇森
1818433200721240072,,TOTAL_Weight_Versus_Product,%,,吴宇森
1818433200721240073,,Polyethylene_Weight,kg,,吴宇森
1818433200721240074,,Polyethylene_Weight_Versus_Product,%,,吴宇森
1818433200721240075,,Wood_Weight,kg,,吴宇森
1818433200721240076,,Wood_Weight_Versus_Product,%,,吴宇森
