id,factor_id,uuid,value,ghg_type,boundary,formula,description
1830471256676372480,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,2610000.0,CO2,A1-A3,,
1830471256676372481,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,2610000.0,Total,A1-A3,,
1830471256676372482,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,515000.0,CO2,A4-A5,,
1830471256676372483,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,515000.0,Total,A4-A5,,
1830471256676372484,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,701500.0,CO2,C1-C4,,
1830471256676372485,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,701500.0,Total,C1-C4,,
1830471256676372486,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,7160.0,CO2,D,,
1830471256676372487,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,7160.0,Total,D,,
1830472062049849344,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,13.9,CO2,A1-A3,,
1830472062049849345,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,13.9,Total,A1-A3,,
1830472062049849346,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,6.7299999999999995,CO2,A4-A5,,
1830472062049849347,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,6.7299999999999995,Total,A4-A5,,
1830472062049849348,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,0.518,CO2,B1-B7,,
1830472062049849349,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,0.518,Total,B1-B7,,
1830472062049849350,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,0.8220000000000001,CO2,C1-C4,,
1830472062049849351,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,0.8220000000000001,Total,C1-C4,,
1830472062049849352,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,-0.899,CO2,D,,
1830472062049849353,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,-0.899,Total,D,,
1830472470331789312,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,8090000.0,CO2,A1-A3,,
1830472470331789313,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,8090000.0,Total,A1-A3,,
1830472470331789314,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,359000.0,CO2,A4-A5,,
1830472470331789315,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,359000.0,Total,A4-A5,,
1830472470331789316,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,47340.0,CO2,C1-C4,,
1830472470331789317,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,47340.0,Total,C1-C4,,
1830472470331789318,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,4680000.0,CO2,D,,
1830472470331789319,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,4680000.0,Total,D,,
1830472575197777920,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,10.9,CO2,A1-A3,,
1830472575197777921,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,10.9,Total,A1-A3,,
1830472575197777922,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,5.35,CO2,A4-A5,,
1830472575197777923,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,5.35,Total,A4-A5,,
1830472575197777924,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,1.08,CO2,B1-B7,,
1830472575197777925,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,1.08,Total,B1-B7,,
1830472575197777926,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,0.7110000000000001,CO2,C1-C4,,
1830472575197777927,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,0.7110000000000001,Total,C1-C4,,
1830472575197777928,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,-0.771,CO2,D,,
1830472575197777929,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,-0.771,Total,D,,
