id,factor_id,uuid,value,ghg_type,boundary,formula,description
1830471256676372480,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,2610.0,CO2,A1-A3,,
1830471256676372481,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,2610.0,Total,A1-A3,,
1830471256676372482,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,515.0,CO2,A4-A5,,
1830471256676372483,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,515.0,Total,A4-A5,,
1830471256676372484,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,701.5,CO2,C1-C4,,
1830471256676372485,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,701.5,Total,C1-C4,,
1830471256676372486,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,7.16,CO2,D,,
1830471256676372487,1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,7.16,Total,D,,
1830471272878968832,1830471272862191616,7dbfc21c-235f-4553-a6ac-46db0aa40d31,,CO2,A1-A3,,
1830471272878968833,1830471272862191616,7dbfc21c-235f-4553-a6ac-46db0aa40d31,,Total,A1-A3,,
1830471272878968834,1830471272862191616,7dbfc21c-235f-4553-a6ac-46db0aa40d31,,CO2,A4-A5,,
1830471272878968835,1830471272862191616,7dbfc21c-235f-4553-a6ac-46db0aa40d31,,Total,A4-A5,,
1830471272878968836,1830471272862191616,7dbfc21c-235f-4553-a6ac-46db0aa40d31,,CO2,B1-B7,,
1830471272878968837,1830471272862191616,7dbfc21c-235f-4553-a6ac-46db0aa40d31,,Total,B1-B7,,
1830471272878968838,1830471272862191616,7dbfc21c-235f-4553-a6ac-46db0aa40d31,,CO2,C1-C4,,
1830471272878968839,1830471272862191616,7dbfc21c-235f-4553-a6ac-46db0aa40d31,,Total,C1-C4,,
1830471272878968840,1830471272862191616,7dbfc21c-235f-4553-a6ac-46db0aa40d31,,CO2,D,,
1830471272878968841,1830471272862191616,7dbfc21c-235f-4553-a6ac-46db0aa40d31,,Total,D,,
1830471365375954944,1830471365354983424,de5edad9-d1b1-46ad-9596-07f65c8ce690,,CO2,A1-A3,,
1830471365375954945,1830471365354983424,de5edad9-d1b1-46ad-9596-07f65c8ce690,,Total,A1-A3,,
1830471365375954946,1830471365354983424,de5edad9-d1b1-46ad-9596-07f65c8ce690,,CO2,A4-A5,,
1830471365375954947,1830471365354983424,de5edad9-d1b1-46ad-9596-07f65c8ce690,,Total,A4-A5,,
1830471365375954948,1830471365354983424,de5edad9-d1b1-46ad-9596-07f65c8ce690,,CO2,B1-B7,,
1830471365375954949,1830471365354983424,de5edad9-d1b1-46ad-9596-07f65c8ce690,,Total,B1-B7,,
1830471365375954950,1830471365354983424,de5edad9-d1b1-46ad-9596-07f65c8ce690,,CO2,C1-C4,,
1830471365375954951,1830471365354983424,de5edad9-d1b1-46ad-9596-07f65c8ce690,,Total,C1-C4,,
1830471365375954952,1830471365354983424,de5edad9-d1b1-46ad-9596-07f65c8ce690,,CO2,D,,
1830471365375954953,1830471365354983424,de5edad9-d1b1-46ad-9596-07f65c8ce690,,Total,D,,
1830471381125566464,1830471381112983552,d38a59e4-061b-4ee0-8ba6-89d02d891832,,CO2,A1-A3,,
