id,uuid,name_zh,name_en,unit,sampling_start,sampling_end,valid_time,location,class_code,description,source_description,source_original_id,source_url,classification_system,source,source_type,completeness_type,first_class,second_class,third_class,data_entry_by,location_id,synonyms,data_version,create_time,class_id
1830471256655400960,bac8c10e-76ce-4094-bd4d-87dd98193173,,"Polyethylene WoodLike Foam Board (G86), Polyethylene WoodLike Foam Board (G33)",tonne,,,"The International  $\mathsf{E P D^{\mathrm{\textregistered}}}$  System,  www.environdec.com  EPD International AB  EPD-IES-0015629  2024-07-24  2029-07-23",,,"Description: The product is made of marine plastic waste, household waste plastics, and other recycled plastics as the main raw materials. The core layer adopts microcellular foaming technology with a variety of recycled polyolefin mixing systems, while the outer surface layer is made of modified HDPE as the main material. The products are extruded through the integration of co-extruding technology, featuring surface aging-resistance, anti-bacteria, anti-mould, and high bonding strength. The surface of the product uses original imitation wood color mixing technology and surface wood texture processing technology, presenting a high simulation of natural wood texture. The products are primarily used in construction, furniture, packaging, art, and other fields, with stable structure, lightweight, high strength, high internal bonding strength, strong nail holding power, and suitability for various handmade art processing and carving. The main material, HDPE recycled plastic, has a durability of not less than 25 years and can be recycled and crushed for 100% secondary use at the end of the product life cycle. The density of the product is 0.80 g/cm³.",The International EPD® System,,www.environdec.com:library:epd15629,,EPD,3,4,,,,吴宇森,,,,2024-09-01 22:02:10.755141,
1830471272862191616,7dbfc21c-235f-4553-a6ac-46db0aa40d31,,CLS Rck37 S4 XC3 D25 CEM IV 425 R SR CAM,,,,,,,,The International EPD® System,,www.environdec.com:library:epd15798,,EPD,3,4,,,,吴宇森,,,,2024-09-01 22:02:14.619608,
1830471365354983424,de5edad9-d1b1-46ad-9596-07f65c8ce690,,"Construction Material(ISO14025), Construction Service(ISO14025)",kg,,,,,,,The International EPD® System,,www.environdec.com:library:epd4546,,EPD,3,4,,,,吴宇森,,,,2024-09-01 22:02:36.670999,
1830471381112983552,d38a59e4-061b-4ee0-8ba6-89d02d891832,,Concrete(CLSRck30S4XC2D25CEMIV/A425RSRCAM),,,,,,,,The International EPD® System,,www.environdec.com:library:epd15790,,EPD,3,4,,,,吴宇森,,,,2024-09-01 22:02:40.428704,
1830471450084118528,3fe60bc9-8b32-4dfd-849a-6971fcaaea1a,,"DESSO Grezzo, DESSO Grezzo Bloom, DESSO Grezzo Vivid (2223Z)",,Revision date:,Revision date:,"The International  $\mathsf{E P D^{\mathrm{\tiny{\circledast}}}}$  System,  www.environdec.com  EPD International AB  S-P-08952  2023-04-17  2024-05-23  2028-04-17",,,Description: Loose-lay carpet tiles (EN 1307) with DESSO EcoBase ® backing developed by Tarkett. The service lifetime recommended by Tarkett is 10 years.,The International EPD® System,,www.environdec.com:library:epd8952,,EPD,3,4,,,,吴宇森,,,,2024-09-01 22:02:56.872839,
1830471529092222976,82809b34-287b-4cf4-baf9-584c92e72fa3,,"DESSO Fuse (100 Recyclable DESSO EcoBase, 100 Regenerated Solution Dyed Nylon Yarn (Econyl)), DESSO Fields (100 Recyclable DESSO EcoBase, 100 Regenerated Solution Dyed Nylon Yarn (Econyl))",,Revision date:,Revision date:,"The International  $\mathsf{E P D^{\mathrm{\textregistered}}}$  System,  www.environdec.com  EPD International AB  S-P-08559  2023-03-16  2024-05-23  2028-03-16",,,Description: Loose-lay carpet tiles (EN 1307) with DESSO EcoBase® backing developed by Tarkett. The service lifetime recommended by Tarkett is 10 years.,The International EPD® System,,www.environdec.com:library:epd8559,,EPD,3,4,,,,吴宇森,,,,2024-09-01 22:03:15.709222,
1830471624118374400,5615b9de-44c0-45b9-9a95-a784738aaefa,,DESSO Desert EcoBase (2223Z),,Revision date:,Revision date:,"The International  $\mathsf{E P D^{\mathrm{\textregistered}}}$  System,  www.environdec.com  EPD International AB  S-P-09339  2023-05-15  2024-05-23  2028-05-15",,,Description: Loose-lay carpet tiles (EN 1307) with DESSO EcoBase ® backing developed by Tarkett. The service lifetime recommended by Tarkett is 10 years.,The International EPD® System,,www.environdec.com:library:epd9339,,EPD,3,4,,,,吴宇森,,,,2024-09-01 22:03:38.365454,
1830471683656519680,19ca3238-fc72-4b17-9a52-fa7a35056e39,,"Classic 40, Ruby 70, Topaz 70, Meteor 70, Acczent Excellence 80, Acczent Essential 70, Aqua Multisafe",,,,"The International $\mathsf{E P D^{\mathrm{\textregistered}}}$  System,  www.environdec.com  EPD International AB  S-P-01348  2018-12-06  2024-07-09  2029-07-09",Europe,,Description: Acczent and Ruby is a heterogeneous compact resilient floor covering developed by Tarkett. The service lifetime recommended by Tarkett is 25 years.,The International EPD® System,,www.environdec.com:library:epd1348,,EPD,3,4,,,,吴宇森,,,,2024-09-01 22:03:52.560463,
1830471702031765504,8f6e4d41-947a-4f2b-89d9-a5cde6e1bd05,,,,,,,,,,The International EPD® System,,www.environdec.com:library:epd1128,,EPD,3,4,,,,吴宇森,,,,2024-09-01 22:03:56.941382,
1830471765273481216,fe4c6b86-2bc7-43f6-8816-c800198f9761,,"Tapiflex Excellence 17db, Tapiflex Excellence 19db, Tapiflex Platinium 100",,Revision date,Revision date,"The International $\mathsf{E P D^{\mathrm{\textregistered}}}$  System,  www.environdec.com  EPD International AB  S-P-01347  2018-12-01  2024-07-09  2029-07-09",Europe,,Description: Tapiflex is a heterogeneous compact resilient floor covering developed by Tarkett. The service lifetime recommended by Tarkett is 25 years.,The International EPD® System,,www.environdec.com:library:epd1347,,EPD,3,4,,,,吴宇森,,,,2024-09-01 22:04:12.019814,
