Impact Category,Unit,A1-A3,A4,A5,B1,B2,B3-B7,C1,C2,C3,C4,D
GWP-Fossil,kg COz eq,1.76E+01,3.22E+00,4.74E+00,0.00E+00,3.86E-01,0.00E+00,0.00E+00,1.88E-01,0.00E+00,3.22E-01,-4.87E-01
GWP - Biogenic,kg COz eq,4.53E-02,9.76E-04,2.73E-02,0.00E+00,4.50E-02,0.00E+00,0.00E+00,5.33E-05,0.00E+00,2.13E-01,-1.00E-03
GWP- Luluc,kg CO2 eq,1.90E-02,2.00E-03,5.00E-03,0.00E+00,6.44E-01,0.00E+00,0.00E+00,9.27E-05,0.00E+00,2.20E-04,-1.00E-03
GWP - Total,kg CO2 eq,1.78E+01,3.23E+00,4.84E+00,0.00E+00,5.18E-01,0.00E+00,0.00E+00,1.88E-01,0.00E+00,6.34E-01,-4.89E-01
ODP,kg CFC-11 eq,2.35E-06,6.70E-08,1.80E-07,0.00E+00,2.01E-08,0.00E+00,0.00E+00,2.66E-09,0.00E+00,6.94E-09,-7.65E-09
AP,mol H+ eq,8.70E-02,1.00E-02,3.00E-02,0.00E+00,4.00E-03,0.00E+00,0.00E+00,1.00E-03,0.00E+00,2.00E-03,-4.00E-03
*EP- Freshwater,kg P eq,5.00E-03,2.13E-04,2.00E-03,0.00E+00,7.00E-03,0.00E+00,0.00E+00,1.48E-05,0.00E+00,8.12E-05,-5.19E-05
EP - Marine,kg N eq,1.70E-02,1.00E-03,5.00E-03,0.00E+00,2.10E-02,0.00E+00,0.00E+00,4.52E-05,0.00E+00,2.48E-04,-1.59E-04
EP - Terrestrial,mol N eq,1.80E-02,3.00E-03,5.00E-03,0.00E+00,5.00E-03,0.00E+00,0.00E+00,2.04E-04,0.00E+00,1.00E-03,-1.00E-03
POCP,kg NMVOC,1.71E-01,2.70E-02,5.10E-02,0.00E+00,1.60E-02,0.00E+00,0.00E+00,2.00E-03,0.00E+00,8.00E-03,-1.40E-02
ADPE,kg Sb eq,5.90E-02,1.30E-02,1.90E-02,0.00E+00,3.00E-03,0.00E+00,0.00E+00,1.00E-03,0.00E+00,3.00E-03,-4.00E-03
ADPF,MJ,3.74E-04,9.72E-06,5.26E-05,0.00E+00,3.70E-06,0.00E+00,0.00E+00,5.76E-07,0.00E+00,6.08E-07,-1.84E-06
WDP,m3 depriv.,2.49E+02,4.43E+01,6.78E+01,0.00E+00,3.88E+00,0.00E+00,0.00E+00,2.54E+00,0.00E+00,6.37E+00,-6.50E+00
PM,disease inc.,1.18E+01,1.73E-01,2.32E+00,0.00E+00,1.01E+00,0.00E+00,0.00E+00,1.00E-02,0.00E+00,2.69E-01,-5.44E-01
IR,kBq U-235 eq,7.87E-07,1.78E-07,2.67E-07,0.00E+00,6.71E-08,0.00E+00,0.00E+00,1.05E-08,0.00E+00,4.36E-08,-4.18E-08
ETP - FW,CTUe,3.03E+02,2.34E+01,6.42E+01,0.00E+00,6.13E+01,0.00E+00,0.00E+00,1.55E+00,0.00E+00,3.72E+00,-4.06E+00
HTTP - C,CTUh,4.39E-08,1.40E-09,2.84E-09,0.00E+00,8.26E-10,0.00E+00,0.00E+00,7.61E-11,0.00E+00,1.72E-10,-3.54E-10
HTTP -NC,CTUh,7.78E-07,3.99E-08,1.64E-07,0.00E+00,2.48E-08,0.00E+00,0.00E+00,2.37E-09,0.00E+00,4.04E-09,-7.06E-09
SQP,Pt,1.42E+02,2.53E+01,2.40E+01,0.00E+00,3.72E+01,0.00E+00,0.00E+00,1.31E+00,0.00E+00,1.45E+01,-1.25E+01
