ResourceUse,,,,,,,,,,,
Impact Category,Unit,A1-A3,A4,A5,B1,B2,B3-B7,C1,C2,C3,C4,D
PERE,MJ,1.55E+01,6.68E-01,4.44E+00,0.00E+00,1.82E+01,0.00E+00,0.00E+00,3.40E-02,0.00E+00,1.13E-01,-1.35E-01
PERM,MJ,0.00E+00,1.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00
PERT,MJ,1.55E+01,1.67E+00,6.44E+00,0.00E+00,1.82E+01,0.00E+00,0.00E+00,3.40E-02,0.00E+00,1.13E-01,8.65E-01
PENRE,MJ,2.49E+02,4.43E+01,6.78E+01,0.00E+00,4.57E+00,0.00E+00,0.00E+00,2.54E+00,0.00E+00,6.37E+00,-6.50E+00
PENRM,MJ,0.00E+00,1.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00
PENRT,MJ,2.49E+02,4.53E+01,6.98E+01,0.00E+00,4.57E+00,0.00E+00,0.00E+00,2.54E+00,0.00E+00,6.37E+00,-5.50E+00
SM,kg,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
RSF,MJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
NRSF,MJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FW,m3,2.27E-01,7.00E-03,5.90E-02,0.00E+00,1.23E-01,0.00E+00,0.00E+00,4.23E-04,0.00E+00,7.00E-03,-4.10E-02
