Technical Specification,Kalesinterflex? Porcelain Ceramic Slab,Kalesinterflex? Porcelain Ceramic Slab with Fibreglass Backing,RelatedStandards
Water Absorption (%),< 0.1%,ISO 10545-3,
Breaking Strength (N),466 N,ISO 10545-4,
Modules of Rupture (N/mm2),Min.50,ISO 10545-4,
Impact Resistance,Compliant,ISO10545-5,
Resistance to Deep Abrasion - Unglazed Tiles Only,Ave.130mm3,ISO 10545-6,
Linear Thermal Expansion Coefficient,Compliant,ISO 10545-8,
Resistance toThermalShock,Compliant,ISO 10545-9,
Frost Resistance,Resistant,ISO 10545-12,
Resistance to Low Concentrations of Acids and Alkalis,ULA-ULB,ISO 10545-13,
Resistance to High Concentrations of Acids and Alkalis Resistance to Household Chemicals and Swimming Pool salts,Compliant,ISO 10545-13,
(glazed & unglazed),min UB,ISO 10545-13,
Resistance to Stain,min Class-2,ISO 10545-14,
