Impact Category,Unit,A1-A3,A4,A5,B1,B2,B3-B7,C1,C2,C3,C4,D
GWP-Fossil,kg COz eq,17.6,3.22,4.74,0.0,0.386,0.0,0.0,0.188,0.0,0.322,-0.487
GWP - Biogenic,kg COz eq,0.0453,0.000976,0.0273,0.0,0.045,0.0,0.0,5.33e-05,0.0,0.213,-0.001
GWP- Luluc,kg CO2 eq,0.019,0.002,0.005,0.0,0.644,0.0,0.0,9.27e-05,0.0,0.00022,-0.001
GWP - Total,kg CO2 eq,17.8,3.23,4.84,0.0,0.518,0.0,0.0,0.188,0.0,0.634,-0.489
ODP,kg CFC-11 eq,2.35e-06,6.7e-08,1.8e-07,0.0,2.01e-08,0.0,0.0,2.66e-09,0.0,6.94e-09,-7.65e-09
AP,mol H+ eq,0.087,0.01,0.03,0.0,0.004,0.0,0.0,0.001,0.0,0.002,-0.004
*EP- Freshwater,kg P eq,0.005,0.000213,0.002,0.0,0.007,0.0,0.0,1.48e-05,0.0,8.12e-05,-5.19e-05
EP - Marine,kg N eq,0.017,0.001,0.005,0.0,0.021,0.0,0.0,4.52e-05,0.0,0.000248,-0.000159
EP - Terrestrial,mol N eq,0.018,0.003,0.005,0.0,0.005,0.0,0.0,0.000204,0.0,0.001,-0.001
POCP,kg NMVOC,0.171,0.027,0.051,0.0,0.016,0.0,0.0,0.002,0.0,0.008,-0.014
ADPE,kg Sb eq,0.059,0.013,0.019,0.0,0.003,0.0,0.0,0.001,0.0,0.003,-0.004
ADPF,MJ,0.000374,9.72e-06,5.26e-05,0.0,3.7e-06,0.0,0.0,5.76e-07,0.0,6.08e-07,-1.84e-06
WDP,m3 depriv.,249.0,44.3,67.8,0.0,3.88,0.0,0.0,2.54,0.0,6.37,-6.5
PM,disease inc.,11.8,0.173,2.32,0.0,1.01,0.0,0.0,0.01,0.0,0.269,-0.544
IR,kBq U-235 eq,7.87e-07,1.78e-07,2.67e-07,0.0,6.71e-08,0.0,0.0,1.05e-08,0.0,4.36e-08,-4.18e-08
ETP - FW,CTUe,303.0,23.4,64.2,0.0,61.3,0.0,0.0,1.55,0.0,3.72,-4.06
HTTP - C,CTUh,4.39e-08,1.4e-09,2.84e-09,0.0,8.26e-10,0.0,0.0,7.61e-11,0.0,1.72e-10,-3.54e-10
HTTP -NC,CTUh,7.78e-07,3.99e-08,1.64e-07,0.0,2.48e-08,0.0,0.0,2.37e-09,0.0,4.04e-09,-7.06e-09
SQP,Pt,142.0,25.3,24.0,0.0,37.2,0.0,0.0,1.31,0.0,14.5,-12.5
