Results per functional or declared unit in case of Landfill -Tapiflex Platinium 1o0,
Indicator,Unit,A1-A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,C1/1 C2/1,C3/1,C4/1,,D/1
PERE,MJ,2.08E+01,1.67E-01,2.54E+00,0.00E+00,4.91E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.04E-03,0.00E+00,3.51E-02,-1.57E+00
PERM,MJ,5.18E-01,0.00E+00,5.18E-02,0.00E+00,9.05E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.80E-02
PERT,MJ,2.13E+01,1.67E-01,2.59E+00,0.00E+00,5.81E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.04E-03,0.00E+00,3.51E-02,-1.59E+00
PENRE,MJ,1.59E+02,1.07E+01,2.52E+01,0.00E+00,1.81E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.60E-01,0.00E+00,8.14E-01,-1.22E+01
PENRM,MJ.,5.28E-01,0.00E+00,5.28E-02,0.00E+00,5.08E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.82E-02
PENRT,MJ,1.59E+02,1.07E+01,2.52E+01,0.00E+00,2.31E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.60E-01,0.00E+00,8.14E-01,-1.22E+01
SM,kg,5.98E-01,0.00E+00,5.98E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.85E-01
RSF,MJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
NRSF,MJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FW,m3,1.41E-01,1.53E-03,1.80E-02,0.00E+00,-1.70E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.70E-05,0.00E+00,9.94E-04,-1.29E-02
Acronyms,,PERT = Total use of renewable primary energy resources; PENRE = Use of non-renewable primary energy excluding non-renewable primary energy resources used as raw materials;,,,,
,,PENRM = Use of non-renewable primary energy resources used as raw materials; PENRT = Total use of non-renewable primary energy re-sources; SM = Use of secondary material; RSF = Useofrenewablesecondaryfuels;NRsF=Useofnon-renewablesecondaryfuels;FW=Useofnetfreshwater,,,,,,,,,,,,,,
