Impact category,min,xew
Climate change - total,1%,18%
Climate change - fossil,-1%,18%
Climate change - biogenic,0%,75%
Climate change - land use and change,-29%,35%
Ozone depletion,-6%,20%
Acidification,-2%,15%
"Eutrophication, freshwater",-48%,20%
"Eutrophication, marine",1%,28%
"Eutrophication, terrestrial",3%,34%
Photochemical ozone formation,1%,24%
"Resource use, minerals and metals",-2%,22%
"Resource use, fossils",2%,16%
Water use,3%,18%
Particulate matter,-20%,37%
lonising radiation,2%,43%
"Ecotoxicity, freshwater",-1%,16%
"Human toxicity, cancer",12%,27%
"Human toxicity, non-cancer",16%,32%
Land use,-8%,22%
Renewable primary energy excl. RM,-2%,25%
Renewable primary energy used as RM,-83%,8%
Total renewable primary energy,-1%,22%
Non renewable primary energy excl. RM,2%,16%
Non renewable primary energy used as RM,-6%,28%
Total non renewable primary energy,2%,16%
Use of secondary material,-50%,100%
Net use of fresh water,-2%,14%
Hazardous waste disposed,31%,42%
Non hazardous waste disposed,-3%,13%
Radioactive waste disposed,2%,39%
Materials for recycling,-3%,10%
