,Resultsperfunctionalordeclaredunit incaseof Landfill-Topaz7o,,,,,,,,,,,,,,,
Indicator,Unit,A1-A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,C1/1,C2/1,C3/1,C4/1,D/1
GWP-total,kg CO2 eq.,"5,95E+00","5,62E-01","1,31E+00","0,00E+00","9,47E-02","0,0OE+00","0,00E+00","0,00E+00","0,00E+00","0,0OE+00","0,00E+00","1,68E-02","0,00E+00","2,77E-01","-4,33E-01"
GWP-fossil,kg CO2 eq.,"5,89E+00","5,62E-01","1,02E+00","0,00E+00","8,89E-02","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","1,68E-02","0,00E+00","2,73E-01","-4,29E-01"
GWP-biogenic,kg CO2 eq.,"4,33E-02","2,30E-04","2,79E-01","0,00E+00","8,10E-04","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","6,85E-06","0,00E+00","3,83E-03","-3,12E-03"
GWP- Luluc,kg CO2 eq.,"1,87E-02","2,69E-04","2,26E-03","0,00E+00","4,92E-03","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","8,02E-06","0,00E+00","7,22E-06","-9,94E-04"
ODP,kgCFC11eq.,"2,79E-06","1,19E-08","2,86E-07","0,00E+00","2,88E-09","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","3,56E-10","0,00E+00","9,28E-10","-2,76E-07"
AP,mol Ht eq.,"2,97E-02","1,76E-03","4,87E-03","0,00E+00","5,50E-04","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","5,34E-05","0,00E+00","2,11E-04","-2,61E-03"
EP-freshwater,kg P eq,"2,41E-03","3,84E-05","3,63E-04","0,00E+00","4,44E-05","0,0OE+00","0,00E+00","0,00E+00","0,0OE+00","0,00E+00","0,00E+00","1,15E-06","0,00E+00","2,17E-06","-1,41E-04"
EP-freshwater,kg PO4 eq,"7,40E-03","1,18E-04","1,11E-03","0,00E+00","1,36E-04","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","3,52E-06","0,00E+00","6,67E-06","-4,34E-04"
EP-marine,kg N eq.,"8,19E-03","6,02E-04","1,45E-03","0,00E+00","2,56E-04","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","1,84E-05","0,00E+00","1,67E-03","-7,10E-04"
EP-terrestrial,mol N eq. kg NMVOC,"6,56E-02","6,35E-03","1,06E-02","0,00E+00","1,26E-03","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","1,94E-04","0,00E+00","9,37E-04","-5,67E-03"
POCP,eq.,"2,18E-02","2,64E-03","4,01E-03","0,00E+00","3,34E-04","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","7,98E-05","0,00E+00","4,08E-04","-1,82E-03"
ADP-minerals&metals*,kg Sb eq.,"6,88E-05","1,77E-06","1,03E-05","0,00E+00","6,19E-07","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","5,27E-08","0,00E+00","6,32E-08","-6,56E-06"
ADP-fossil*,MJ,"1,40E+02","7,77E+00","2,31E+01","0,00E+00","1,81E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","2,32E-01","0,00E+00","7,33E-01","-1,09E+01"
WDP,m3,"6,92E+00","3,11E-02","1,01E+00","0,00E+00","2,12E-02","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,00E+00","9,26E-04","0,00E+00","3,20E-03","-6,62E-01"
Acronyms,"potential of thestratosphericozonelayer;AP=Acidificationpotential,Accumulated Exceedance;EP-freshwater=Eutrophicationpotential,fractionofnutrientsreachingfreshwater end Formationpotential of troposphericozone;ADP-minerals&metals=Abioticdepletionpotential fornon-fossil resources;ADP-fossil=Abioticdepletionforfossil resourcespotential;WDp=Water",GWP-fossil =GlobalWarmingPotential fossil fuels;GWP-biogenic=GlobalWarmingPotentialbiogenic;GWP-luluc=GlobalWarmingPotential landuse and landusechange;ODP=Depletion,,,,"(user) deprivation potential, deprivation-weighted water consumption",,,,,,,,,,
