,Topaz 70,"Biogenic material,"
Product components,"Weight, kg/m2","Post-consumer material, weight-%",weight-% and kg C/kg
PVC Emulsion,9.57E-01,0%,0% 0%
Plasticizers,5.39E-01,0%,,
Epoxidised soya bean oil,6.80E-03,0%,83%,0.005
Mineral fillers,5.62E-01,0%,0%
Stabilizer CaZn,1.59E-02,0%,0%
Pigments,3.85E-02,0%,0%
Surface Treatment,3.06E-02,0%,0%
Additives,2.38E-02,0%,0%
Glass reinforcement,1.18E-02,0%,0%
Titanium Dioxide,1.36E-02,0%,0%
Calendered underlay,7.00E-01,0%,0%
TOTAL,2.90E+00,0%,2%
Packaging materials,"Weight, kg/m2",Weight-% (versus the product),"Weight biogenic carbon, kg C/kg"
Product Packaging Cardboard,6.65E-02,2.3%,0.0205
Product Packaging PELD foil,5.76E-03,0.2%,
Product Packaging PP (Disc),4.20E-06,0.0001%,
TOTAL,7.22E-02,2.5%,0.0205
