Results per functional or declared unit in case of incineration - Topaz 70,,,,,,
Indicator,Unit,C1/2,C2/2,C3/2,C4/2,D/2
GWP-total,kg CO2 eq.,"0,0OE+00","5,80E-03","5,67E+00","2,46E-03","-1,84E+00"
GWP-fossil,kg CO2 eq.,"0,00E+00","5,80E-03","5,62E+00","2,46E-03","-1,83E+00"
GWP- biogenic,kg CO2 eq.,"0,00E+00","2,36E-06","4,82E-02","2,08E-06","-6,07E-03"
GWP- Luluc,kg CO2 eq.,"0,00E+00","2,76E-06","2,52E-03","4,59E-07","-1,99E-03"
ODP,kg CFC 11 eq.,"0,0OE+00","1,23E-10","8,01E-07","8,03E-11","-3,32E-07"
AP,mol H+ eq.,"0,00E+00","1,84E-05","9,59E-03","1,50E-05","-7,34E-03"
EP-freshwater,kg P eq,"0,00E+00","3,95E-07","6,86E-04","1,08E-07","-5,94E-04"
EP-freshwater,kg PO43-eq,"0,0OE+00","1,21E-06","2,11E-03","3,32E-07","-1,82E-03"
EP-marine,kg N eq.,"0,0OE+00","6,33E-06","2,32E-03","6,52E-06","-1,51E-03"
EP-terrestrial,mol N eq.,"0,00E+00","6,69E-05","2,34E-02","6,99E-05","-1,36E-02"
POCP,kg NMVOC eq.,"0,0OE+00","2,75E-05","6,89E-03","2,77E-05","-5,02E-03"
ADP-minerals&metals*,kg Sb eq.,"0,0OE+00","1,82E-08","2,03E-05","2,45E-09","-7,88E-06"
ADP-fossil*,MJ,"0,0OE+00","8,01E-02","2,02E+01","5,88E-02","-3,24E+01"
WDP,m3,"0,0OE+00","3,19E-04","3,47E+00","2,09E-04","-7,69E-01"
Results per functional or declared unit in case of incineration - Topaz 70,,,,,,
Indicator,Unit,C1/2,C2/2,C3/2,C4/2,D/2
PERE,MJ,"0,00E+00","1,24E-03","2,39E+00","1,17E-03","-3,09E+00"
PERM,MJ,"0,00E+00","0,00E+00","0,00E+00","0,00E+00","-4,90E-03"
PERT,MJ,"0,0OE+00","1,24E-03","2,39E+00","1,17E-03","-3,10E+00"
PENRE,MJ,"0,00E+00","8,01E-02","2,02E+01","5,88E-02","-3,23E+01"
PENRM,MJ.,"0,0OE+00","0,00E+00","0,00E+00","0,00E+00","-1,16E-03"
PENRT,MJ,"0,0OE+00","8,01E-02","2,02E+01","5,88E-02","-3,23E+01"
SM,kg,"0,0OE+00","0,00E+00","0,0OE+00","0,00E+00","2,48E-01"
RSF,MJ,"0,0OE+00","0,00E+00","0,00E+00","0,00E+00","0,0OE+00"
NRSF,MJ,"0,0OE+00","0,00E+00","0,00E+00","0,OOE+00","0,00E+00"
FW,m3,"0,00E+00","-3,81E-05","2,85E-02","5,42E-05","2,90E-01"
Results per functional or declared unit in case of incineration - Topaz 70,,,,,,
Indicator,Unit,C1/2,C2/2,C3/2,C4/2,D/2
Hazardouswastedisposed,kg,"0,0OE+00","7,62E-05","6,95E-01","3,08E-05","-3,34E-02"
Non-hazardous waste disposed,kg,"0,00E+00","4,55E-03","1,28E+00","4,09E-01","-4,13E-01"
Radioactivewastedisposed,kg,"0,0OE+00","2,60E-08","5,73E-05","1,27E-08","-7,49E-05"
Results per functional or declared unit in case of incineration - Topaz 70,,,,,,
Indicator,Unit,C1/2,C2/2,C3/2,C4/2,D/2
Components for re-use,kg,"0,0OE+00","0,00E+00","0,00E+00","0,00E+00","0,0OE+00"
Material for recycling Materialsforenergy,kg,"0,00E+00","0,00E+00","0,00E+00","0,00E+00","0,0OE+00"
recovery,kg,"0,OOE+00","0,00E+00","4,76E-01","0,0OE+00","0,0OE+00"
Exportedenergy.electricity,MJ,"0,00E+00","0,00E+00","3,58E+00","0,00E+00","0,00E+00"
Exported energy. thermal,MJ,"0,00E+00","0,00E+00","1,05E+01","0,00E+00","0,00E+00"
