Indicator,Unit,A1-A3,C1,C2,C3,C4,D
PERE,MJ,10.76,0.02,0.25,0.01,0.00,-7.56
PERM,MJ,0.00,0.00,0.00,0.00,0.00,0.00
PERT,MJ,10.76,0.02,0.25,0.01,0.00,-7.56
PENRE,MJ,2.15E+03,1.68E+01,8.07E+01,2.62E+03,0.00E+00,-4.22E+03
PENRM,MJ,2.61E+03,0.00E+00,0.00E+00,-2.61E+03,0.00E+00,0.00
PENRT,MJ,4.76E+03,1.68E+01,8.07E+01,9.71E+00,0.00E+00,-4.22E+03
SM,kg,0.00,0.00,0.00,0.00,0.00,1000.00
RSF,MJ,0.00,0.00,0.00,0.00,0.00,0.00
NRSF,MJ,0.00,0.00,0.00,0.00,0.00,0.00
FW Acronym,m?,0.36 PERE=Use of renewableprimary energy excludingrenewableprimary energyresources used as raw,0.00,0.01 fuels;Fw=Useofnetfreshwater,0.00,0.00,-0.31
S,materials;PERM=Useof renewableprimary energyresourcesusedasrawmaterials;PERT=Total use of renewable primary energy resources; PENRE = Use of non-renewable primary energy excluding non- renewable primary energy resources used as raw materials; PENRM = Use of non-renewable primary energy ofsecondarymaterial;RSF=Useofrenewablesecondaryfuels;NRSF=Useofnon-renewablesecondary
