Indicator,Unit,A1-A3,C1,C2,C3,C4,D
PERE,MJ,10.76,0.02,0.25,0.01,0.0,-7.56
PERM,MJ,0.00,0.0,0.00,0.0,0.0,0.0
PERT,MJ,10.76,0.02,0.25,0.01,0.0,-7.56
PENRE,MJ,2.15E+03,16.8,8.07E+01,2620.0,0.0,-4220.0
PENRM,MJ,2.61E+03,0.0,0.00E+00,-2610.0,0.0,0.0
PENRT,MJ,4.76E+03,16.8,8.07E+01,9.71,0.0,-4220.0
SM,kg,0.00,0.0,0.00,0.0,0.0,1000.0
RSF,MJ,0.00,0.0,0.00,0.0,0.0,0.0
NRSF,MJ,0.00,0.0,0.00,0.0,0.0,0.0
FW Acronym,m?,0.36 PERE=Use of renewableprimary energy excludingrenewableprimary energyresources used as raw,0.0,0.01 fuels;Fw=Useofnetfreshwater,0.0,0.0,-0.31
S,materials;PERM=Useof renewableprimary energyresourcesusedasrawmaterials;PERT=Total use of renewable primary energy resources; PENRE = Use of non-renewable primary energy excluding non- renewable primary energy resources used as raw materials; PENRM = Use of non-renewable primary energy ofsecondarymaterial;RSF=Useofrenewablesecondaryfuels;NRSF=Useofnon-renewablesecondary,,,,,,
