Productcomponents,"Weight, kg","Post-consumermaterial, weight-%oftotalproduct","Biogenic material, kg C/product"
Secondary HDPE,953.00,95.30%,0.00
Primary polymer,30.00,0.00%,0.00
Foaming agent,12.00,0.00%,0.00
Conditioning agent,5.00,0.00%,0.00
TOTAL,1000.00,95.30%,0.00
Packaging materials,"Weight, kg",Weight-% (versus the product),"Weight biogenic carbon, kg C/product"
PET package,4.80,0.48%,0.00
Paper package,1.70,0.17%,0.04
PE package (LDPE),18.00,1.80%,0.00
Corrugatedcardboardbox,100.00,10.00%,17.78
TOTAL,124.50,12.45%,17.82
