,,Riguarda I'arricchimento (trofico) delle acque in sali nutritivi cheprovoca cambiamenti strutturali,,
Eutrofizzazione,,,all'ecosistema come: Ilincremento della produzione di,
,"alghe e piante acquatiche, I'impoverimento delle",,
,,"specieittiche,lageneraledegradazionedella qualita",
,,dell'acqua e altri effetti che ne riducono e precludono,,
,"""osn,I",,
,,E il fenomeno della decrescita del valore del pH,
Acidificazione degli oceani,,,dell'acquadeglioceanipereffettodell'assunzionedi,
,CO2,,
,,,
Deposizione acida Smog fotochimico,,,Pioggia acida con valori di pH < 5,
,,,
,ossidazionefotochimica,Composti che portano all'ozono dopo reazioni di,
,,Materialederivatodaunflussodirifiutiprodottidurante,,
,,,
,"materiale e escluso il riutilizzo, la rifrantumazione,la",,
Materiale pre-consumer,,rifilaturageneratidaunprocessoelapossibilitadi,,
,,essere reintrodotto all'interno dello stesso processo,
,produttivochelohagenerato,,
,,,"Materiale generato da consumatori, quali famiglie o",
,"spazi commerciali, industriali e istituzionali nel loro",,
,"ruolo di utilizzatori finali del prodotto, che non puo piu",,
Materialepost-consumer,,,,
,essereutilizzatoper ilsuo scopoiniziale.Questo,,
,di distribuzione.,include il ritornodel materialeprovenientedallacatena,
