Nome,Definizione
Economiacircolare,"Sistema economico in grado di rigenerarsi da solo Un modello di produzione e consumo che implica: condivisione, prestito, riutilizzo, riparazione, ricondizionamentoericiclodeimaterialieprodotti esistenti il piu a lungo possibile Soddisfacimento    dei   bisogni   della g generazione"
Sviluppo sostenibile,"presentesenza comprometterelapossibilita delle generazioni future di realizzarei propri. Piu in generale il soddisfacimento   della qualita della vita, mantenendosi entroi limiti dellacapacita di carico degli ecosistemi checi sostengono Indica il cambiamento del clima terrestre, in particolare"
Riscaldamento globale,é caratterizzato dall'innalzamento della temperatura mediaglobalee daaltrifenomeni adessoassociati
GWP (Global Warming Potential),Rappresenta ilcontributodiungas allavariazione dell'effetto serra Principio di regolazione della temperatura che consiste
Effetto serra,nell'immagazzinareall'internodell'atmosferauna parte dell'energia termica ricevuta da un corpo radiante grazie alla presenza di determinati gas LCA sta per Life Cycle Assessment e una metodologia
LCA,per quantificare I'impatto ambientale dei prodotto/servizi riportate nelle EPD
EPD,"EPD sta per Environmental Product Declaration o DAP,Dichiarazione Ambientale di Prodotto, cioe un documento che descrive gli impatti ambientali di un prodotto e/o servizio calcolati durante tutto il ciclo vita dello stesso"
GCCA,IlGCCAeunaassociazionecostituitadamembri volontari appartenenti alle compagnie cementiere di tutto il mondo impegnate nello sviluppo sostenibile
EPD Tool,"L'EPD Tool e una piattaforma online con un'interfaccia semplice attraverso la quale l'utente finale puo accedere allapropria area riservata,caricaredati, produrre report e scaricare quella reportistica che é"
Report,basatasuipropri dati ed altrefonti disponibili Per report si intende quella reportistica che viene generata dall'utente finalequando usa I'EPDTool
PCR,"Product Category Rules cioe,leRegole di Categoria di Prodotto, sono documenti che definiscono i principi e i requisiti per la stesura delle EPD di una specifica categoria diprodotti e/oservizi"
