"CLSRck37S4XC3D25CEMIV42,5RSRCAM",,,,,,
EP -marine,kg N eq.,"9,14E-04",ND,ND,"0,00 E+00","0,00 E+00","0,00 E+00","0,00 E+00","0,00 E+00","0,00 E+00","0,00 E+00","3,34 E-05","8,76 E-05","2,13 E-04","2,84 E-05","-3,83 E-04"
EP-terrestrial,mol di N eq.,"2,37E+00",ND,ND,"0,00 E+00","0,00 E+00","0,00 E+00","0,00 E+00","0,00 E+00","0,00 E+00","0,00 E+00","4,44 E-01","1,13 E-01","7,37 E-02","8,82 E-02","-2,49 E-01"
POCP,kg NMVOC eq.,"5,73E-01",ND,ND,"0,00 E+00","0,00 E+00","0,00 E+00","0,00 E+00","0,00 E+00","0,00 E+00","0,00 E+00","1,22 E-01","3,72 E-02","2,08 E-02","2,59 E-02","-6,31 E-02"
ADP-minerals&metals,kg Sb eq.,"1,86E-04",ND,ND,"0,00 E+00 0,00","0,00 E+00 0,00","0,00 E+00","0,00 E+00","0,00 E+00","0,00 E+00","0,00 E+00","2,66 E-06","1,57 E-05","4,60 E-06","2,80 E-06 7,15","-1,61 E-04"
ADP-fossil,MJ,"1,74E+03",ND,ND,"E+00 0,00","E+00 0,00","0,00 E+00 0,00","0,00 E+00 0,00","0,00 E+00 0,00","0,00 E+00 0,00","0,00 E+00 0,00","1,30 E+02 7,67","1,32 E+02 1,15","7,67 E+01 1,08","E+01 3,45","-1,62 E+02 -2,74"
WDP,m3,"9,39E+01",ND,ND,"E+00 -2,73","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E-01 8,99","E+00 8,65","E+00 4,19","E+00 -1,98","E+01 -1,41"
GWP-GHG,kg CO2 eq.,"2,69E+02",ND,ND,"E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 2,45","E+00 7,72","E+00 3,53","E+00 4,59","E+01 -1,17"
PM,disease incidence,"8,32E-06",ND,ND,"E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E-06 6,08","E-07 7,58","E-07 8,23","E-07 3,30","E-06 -1,32"
IRP,kBq U235 eq.,"6,63E+00 5,32E+01",ND,ND,"E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E-01 1,76","E-01 2,32","E-01 1,61","E-01 1,35","E+00 -6,83"
ETP - fw,CTUe.,,ND ND,ND ND,"E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 6,36","E+01 1,01","E+00 6,38","E+00 2,25","E+00 -3,37"
HTP-c HTP -nc,CTUh,"9,09E-07 1,75E-05",ND,ND,"E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E-08 2,46","E-07 1,39","E-08 2,94","E-08 1,44","E-07 -2,01"
,CTUh,,ND,ND,"E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E+00 0,00","E-07 7,71","E-06 2,15","E-07 6,27","E-07 1,33","E-06 -2,12"
SQP ACRONYMS,adimentional,"5,31E+02",,,E+00 GWP= Global Warming Potential; luluc= land use and land use change; ODP = Depletion potential of the stratospheric ozone layer; AP=,E+00,E+00,E+00,E+00,E+00,E+00,E+00,E+02,E+01,E+02,E+02
,"Acidification Potential; EP- freshwater= Eutrophication Potential, fraction of nutrients reaching freshwater end compartment; EP-marine= Eutrophication Potential, fraction of nutrients reaching marine end compartment; EP-terrestrial= Eutrophication Potential; POCP= Formation Potential of tropospheric ozone;ADP-minerals&metals=Abiotic depletion potential for non-fossil resources; ADP-Fossil=Abiotic depletion potentialfornon-fossil resources;WDP=Water depletionPotential;GHG=GreenHouse Gasses;PM=Potential incidence of disease due to Particulate Matters Emission; IRP = lonizing radiation potential (human exposure efficiency relative to U235); ETP-fw=Potential Eco Toxicity for",,,
