,,Riguarda I'arricchimento (trofico) delle acque in sali nutritivi cheprovoca cambiamenti strutturali,,
Eutrofizzazione,,,all'ecosistema come: Iincremento della produzione di,
,"alghe e piante acquatiche, I'impoverimento delle",,
,,"specieittiche,lageneraledegradazionedella qualita",
,,dell'acqua e altri effetti che ne riducono e precludono,,
,"""osn,I",,
,,E il fenomeno della decrescita del valore del pH,
Acidificazione degli oceani,,,dell'acquadeglioceanipereffettodell'assunzionedi,
,CO2,,
,,,
Deposizione acida Smog fotochimico,,,Pioggia acida con valori di pH < 5,
,,,
,,Composti che portanoallozono doporeazioni di,
,,ossidazionefotochimica,,
,,Materialederivatodaunflussodirifiutiprodottidurante,
,"materiale e esclusoil riutilizzo,la rifrantumazione,la",,
Materialepre-consumer,,,,
,,rifilaturageneratidaunprocessoelapossibilitadi,
,produttivochelohagenerato,essere reintrodotto all'interno dello stesso processo,
,,,,
,"Materiale generato da consumatori, quali famiglie o",,
,,"spazi commerciali, industriali e istituzionali nel loro",
Materialepost-consumer,,,"ruolo di utilizzatori finali del prodotto, che non puo piu",
,essere utilizzatoper ilsuo scopoiniziale.Questo,,
,di distribuzione.,include il ritornodel materialeprovenientedallacatena,
