Nome,Definizione
Economiacircolare,"Sistema economico in grado di rigenerarsi da solo Un modello di produzione e consumo che implica: condivisione, prestito, riutilizzo, riparazione, ricondizionamentoericiclodeimaterialieprodotti esistenti il piu a lungo possibile Soddisfacimento    dei   bisogni   della g generazione"
Sviluppo sostenibile,"presentesenzacomprometterelapossibilitadelle generazioni future di realizzarei propri. Piu in generale il soddisfacimento    della qualita  della  vita, mantenendosi entroi limiti della capacita di carico degli ecosistemi che ci sostengono Indica il cambiamento del clima terrestre,in particolare"
Riscaldamento globale,é caratterizzato dall'innalzamento della temperatura mediaglobaleedaaltrifenomeni adessoassociati
GWP (Global Warming Potential),Rappresenta ilcontributodiungasallavariazione dell'effetto serra Principio di regolazione della temperatura che consiste
Effettoserra,nell'immagazzinare all'interno dell'atmosfera una parte dell'energia termica ricevuta da un corpo radiante grazie alla presenza di determinati gas LCA sta per Life Cycle Assessment e una metodologia
LCA,per quantificare I'impatto ambientale dei prodotto/servizi riportate nelle EPD
EPD,"EPD sta per Environmental Product Declaration o DAP,Dichiarazione Ambientale di Prodotto,cioe un documento che descrive gli impatti ambientali di un prodotto e/o servizio calcolati durante tutto il ciclo vita dello stesso"
GCCA,IGCCAeunaassociazionecostituitadamembri volontari appartenenti alle compagnie cementiere di tutto il mondo impegnate nello sviluppo sostenibile
EPD Tool,"L'EPD Tool e una piattaforma online con un'interfaccia semplice attraverso la quale lutente finale puo accedere allapropria area riservata,caricaredati, produrre report e scaricare quella reportistica che é"
Report,basatasuipropri datiedaltrefonti disponibili Per report si intende quella reportistica che viene generata dall'utente finalequando usa I'EPDTool
PCR,"Product Category Rules cioe,le Regole di Categoria di Prodotto, sono documenti che definiscono i principi e i requisiti per la stesura delle EPD di una specifica categoria di prodotti e/o servizi"
