,,,,,,
Indicator,Unit,A1-A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,D
GWP-total GWP-fossil,kg CO2eq kg CO2eq,3.92E+00 4.42E+00,1.35E-01 1.35E-01,3.98E-01 2.99E-01,0.00E+00 0.00E+00,1.64E-01 1.62E-01,0.00E+00 0.00E+00,0.00E+00 0.00E+00,0.00E+00 0.00E+00,0.00E+00 0.00E+00,0.00E+00 0.00E+00,0.00E+00 0.00E+00,1.35E-01 1.35E-01,7.09E-01 1.26E-01,8.07E-01 8.07E-01,-5.55E+00 -5.57E+00
GWP-,kg CO2eq,-5.15E-01,5.50E-05,9.87E-02,0.00E+00,1.14E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.51E-05,5.83E-01,6.65E-05,2.22E-02
biogenic GWP-Luluc,kg C02eq,7.82E-03,6.45E-05,2.44E-04,0.00E+00,6.33E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.45E-05,1.51E-04,6.15E-06,-4.57E-03
AP,kg CFC11,1.25E-06,2.86E-09,3.81E-08,0.00E+00,2.93E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.87E-09,3.39E-09,8.29E-10,-2.38E-08
ODP,eq mol H+ eq,2.08E-02,4.23E-04,7.13E-04,0.00E+00,8.06E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.30E-04,9.65E-04,1.84E-04,-1.15E-02
EP-,kg Peq,9.89E-04,9.22E-06,3.17E-05,0.00E+00,1.44E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.22E-06,6.65E-05,2.41E-06,-5.15E-04
freshwater EP-marine,kg Neq,5.44E-03,1.44E-04,2.98E-04,0.00E+00,1.48E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.48E-04,1.58E-04,1.05E-04,-1.23E-03
EP-terrestrial,molN eq kg NMVOC,5.00E-02,1.52E-03,1.85E-03,0.00E+00,1.28E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.56E-03,1.66E-03,8.95E-04,-1.78E-02
POCP ADP-,ba,1.64E-02,6.32E-04,6.32E-04,0.00E+00,4.10E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.42E-04,5.46E-04,2.25E-04,-8.67E-03
minerals&met,kg Sb eq,2.35E-05,4.24E-07,7.50E-07,0.00E+00,3.35E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.24E-07,6.51E-06,3.89E-08,-9.97E-06
als* ADP-fossil*,MJ,7.92E+01,1.86E+00,2.59E+00,0.00E+00,3.71E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.87E+00,1.18E+00,1.49E-01,-1.25E+02
WDP,m3 depriv.,5.09E+00,7.44E-03,1.61E-01,0.00E+00,3.99E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.45E-03,3.52E-02,3.65E-02,5.80E+00
