Impact Category,,Unit,A1-A3,A4,A5,B1,B2,B3-B7,C1,C2,C3,C4,D
GWP -Fossil,,kg CO2 eq,1.08E+01,6.79E-01,4.74E+00,0.00E+00,3.86E-01,0.00E+00,0.00E+00,2.54E-01,0.00E+00,4.08E-01,-7.69E-01
,GWP - Biogenic,kg COz eq,1.20E-01,1.96E-04,-7.10E-02,0.00E+00,4.50E-02,0.00E+00,0.00E+00,7.19E-05,0.00E+00,4.90E-02,-1.00E-03
GWP -Luluc,,kg CO2 eq,2.60E-02,3.82E-04,5.00E-03,0.00E+00,6.44E-01,0.00E+00,0.0OE+00,1.25E-04,0.00E+00,0.00E+00,-1.00E-03
,GWP - Total,kg COz eq,1.09E+01,6.80E-01,4.67E+00,0.00E+00,1.08E+00,0.00E+00,0.00E+00,2.54E-01,0.00E+00,4.57E-01,-7.71E-01
ODP,,kg CFC-11 eq,7.78E-07,1.33E-08,1.80E-07,0.00E+00,2.01E-08,0.00E+00,0.00E+00,3.59E-09,0.00E+00,9.26E-09,-1.21E-08
AP,,mol H+ eq,3.70E-02,6.00E-03,3.00E-02,0.00E+00,4.00E-03,0.00E+00,0.00E+00,1.00E-03,0.00E+00,3.00E-03,-6.00E-03
,*EP-Freshwater,kg P eq,3.00E-03,4.13E-05,2.00E-03,0.00E+00,7.00E-03,0.00E+00,0.00E+00,1.99E-05,0.00E+00,1.03E-04,-8.19E-05
,EP - Marine,kg N eq,1.00E-02,1.26E-04,5.00E-03,0.00E+00,2.10E-02,0.00E+00,0.00E+00,6.10E-05,0.00E+00,3.14E-04,-2.51E-04
,EP - Terrestrial,mol N eq,7.00E-03,2.00E-03,5.00E-03,0.00E+00,5.00E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-03,-2.00E-03
POCP,,kg NMVOC,7.30E-02,1.70E-02,5.10E-02,0.00E+00,1.60E-02,0.00E+00,0.00E+00,3.00E-03,0.00E+00,1.10E-02,-2.20E-02
ADPE,,kg Sb eq,2.70E-02,6.00E-03,1.90E-02,0.00E+00,3.00E-03,0.00E+00,0.00E+00,1.00E-03,0.00E+00,4.00E-03,-7.00E-03
ADPF,,MJ,7.39E-05,1.76E-06,5.26E-05,0.00E+00,3.70E-06,0.00E+00,0.00E+00,7.78E-07,0.00E+00,7.97E-07,-2.91E-06
WDP,,m3 depriv.,1.46E+02,9.08E+00,6.78E+01,0.00E+00,3.88E+00,0.00E+00,0.00E+00,3.43E+00,0.00E+00,8.49E+00,-1.03E+01
PM,,disease inc.,3.74E+00,3.30E-02,2.32E+00,0.00E+00,1.01E+00,0.00E+00,0.00E+00,1.40E-02,0.00E+00,3.59E-01,-8.58E-01
IR,,kBq U-235 eq,2.43E-07,3.39E-08,2.67E-07,0.00E+00,6.71E-08,0.00E+00,0.00E+00,1.42E-08,0.00E+00,5.82E-08,-6.60E-08
,ETP- FW,CTUe,3.12E+01,4.79E+00,6.42E+01,0.00E+00,6.13E+01,0.00E+00,0.00E+00,2.09E+00,0.00E+00,3.99E+00,-6.41E+00
,HTTP -C,CTUh,3.21E-09,3.00E-10,2.84E-09,0.00E+00,8.26E-10,0.00E+00,0.00E+00,1.03E-10,0.00E+00,2.20E-10,-5.58E-10
HTTP -NC,,CTUh,1.15E-07,7.41E-09,1.64E-07,0.00E+00,2.48E-08,0.00E+00,0.00E+00,3.20E-09,0.00E+00,4.84E-09,-1.11E-08
SQP,,Pt,2.73E+01,4.35E+00,2.40E+01,0.00E+00,3.72E+01,0.00E+00,0.0OE+00,1.76E+00,0.00E+00,1.94E+01,-1.98E+01
