Impact Category,,Unit,A1-A3,A4,A5,B1,B2,B3-B7,C1,C2,C3,C4,D
GWP -Fossil,,kg CO2 eq,10.8,0.679,4.74,0.0,0.386,0.0,0.00E+00,0.254,0.0,0.408,-0.769
,GWP - Biogenic,kg COz eq,0.12,0.000196,-0.071,0.0,0.045,0.0,0.00E+00,7.19e-05,0.0,0.049,-0.001
GWP -Luluc,,kg CO2 eq,0.026,0.000382,0.005,0.0,0.644,0.0,0.0OE+00,0.000125,0.0,0.0,-0.001
,GWP - Total,kg COz eq,10.9,0.68,4.67,0.0,1.08,0.0,0.00E+00,0.254,0.0,0.457,-0.771
ODP,,kg CFC-11 eq,7.78e-07,1.33e-08,1.8e-07,0.0,2.01e-08,0.0,0.00E+00,3.59e-09,0.0,9.26e-09,-1.21e-08
AP,,mol H+ eq,0.037,0.006,0.03,0.0,0.004,0.0,0.00E+00,0.001,0.0,0.003,-0.006
,*EP-Freshwater,kg P eq,0.003,4.13e-05,0.002,0.0,0.007,0.0,0.00E+00,1.99e-05,0.0,0.000103,-8.19e-05
,EP - Marine,kg N eq,0.01,0.000126,0.005,0.0,0.021,0.0,0.00E+00,6.1e-05,0.0,0.000314,-0.000251
,EP - Terrestrial,mol N eq,0.007,0.002,0.005,0.0,0.005,0.0,0.00E+00,0.0,0.0,0.001,-0.002
POCP,,kg NMVOC,0.073,0.017,0.051,0.0,0.016,0.0,0.00E+00,0.003,0.0,0.011,-0.022
ADPE,,kg Sb eq,0.027,0.006,0.019,0.0,0.003,0.0,0.00E+00,0.001,0.0,0.004,-0.007
ADPF,,MJ,7.39e-05,1.76e-06,5.26e-05,0.0,3.7e-06,0.0,0.00E+00,7.78e-07,0.0,7.97e-07,-2.91e-06
WDP,,m3 depriv.,146.0,9.08,67.8,0.0,3.88,0.0,0.00E+00,3.43,0.0,8.49,-10.3
PM,,disease inc.,3.74,0.033,2.32,0.0,1.01,0.0,0.00E+00,0.014,0.0,0.359,-0.858
IR,,kBq U-235 eq,2.43e-07,3.39e-08,2.67e-07,0.0,6.71e-08,0.0,0.00E+00,1.42e-08,0.0,5.82e-08,-6.6e-08
,ETP- FW,CTUe,31.2,4.79,64.2,0.0,61.3,0.0,0.00E+00,2.09,0.0,3.99,-6.41
,HTTP -C,CTUh,3.21e-09,3e-10,2.84e-09,0.0,8.26e-10,0.0,0.00E+00,1.03e-10,0.0,2.2e-10,-5.58e-10
HTTP -NC,,CTUh,1.15e-07,7.41e-09,1.64e-07,0.0,2.48e-08,0.0,0.00E+00,3.2e-09,0.0,4.84e-09,-1.11e-08
SQP,,Pt,27.3,4.35,24.0,0.0,37.2,0.0,0.0OE+00,1.76,0.0,19.4,-19.8
