Technical Specification,Kaleseramik Wall Tiles,Related Standards
Water Absorption (%),3.0%,ISO 10545-3
Thickness < 7.5 mm,1400 N,
Modules of Rupture (N/mm2),Min.30,ISO 10545-4
ResistancetoSurfaceAbrasionforGlazedTile,Class:1-2-3-4-5,ISO 10545-7
Linear Thermal Expansion Coefficient (1o0°C),Affirmative,ISO 10545-8
Impact Resistance,Affirmative,ISO 10545-5
ResistancetoThermalShock,Affirmative,ISO 10545-9
Crazing Resistance for Glazed Tiles,Resistant,ISO 10545-11
Frost Resistance,Resistant,ISO 10545-12
Resistanceto LowConcentrationsofAcids andAlkalis,GLA-GLB,ISO10545-13
Resistance to High Concentrations of Acids and Alkalis,Affirmative,ISO 10545-13
Resistance to Household Chemicals and Swimming Pool salts (glazed & unglazed),Min. GB,ISO 10545-13
Resistance to Stain,Min. class 3,ISO 10545-14
Ramp Slip Resistance (Oil/Wet),R =09-10-11-12-13 CLASS = A-B-C,DIN51130 DIN 51097
