Impact Category,Unit,A1-A3,A4,A5,B1,B2,B3-B7,C1,C2,C3,C4,D
GWP-Fossil,kg COz eq,1.03E+01,8.23E-01,4.74E+00,0.00E+00,3.86E-01,0.00E+00,0.00E+00,2.00E-01,0.00E+00,2.64E-01,-5.88E-01
GWP - Biogenic,kg CO2 eq,1.20E-01,2.20E-04,-7.14E-02,0.00E+00,4.50E-02,0.00E+00,0.00E+00,5.68E-05,0.00E+00,4.90E-02,-1.00E-03
GWP - Luluc,kg CO2 eq,2.30E-02,1.00E-03,5.00E-03,0.00E+00,6.44E-01,0.00E+00,0.00E+00,9.89E-05,0.00E+00,1.86E-04,-1.14E-03
GWP - Total,kg CO2 eq,1.04E+01,8.25E-01,4.84E+00,0.00E+00,5.18E-01,0.00E+00,0.00E+00,2.01E-01,0.00E+00,3.42E-01,-5.91E-01
ODP,kg CFC-11 eq,8.63E-07,1.49E-08,1.80E-07,0.00E+00,2.01E-08,0.00E+00,0.00E+00,2.84E-09,0.00E+00,5.98E-09,-9.23E-09
AP,mol H+ eq,3.80E-02,1.20E-02,3.00E-02,0.00E+00,4.00E-03,0.00E+00,0.00E+00,6.74E-04,0.00E+00,2.00E-03,-5.00E-03
*EP-Freshwater,kg P eq,3.00E-03,4.42E-05,2.00E-03,0.00E+00,7.00E-03,0.00E+00,0.00E+00,1.57E-05,0.00E+00,6.63E-05,-6.27E-05
EP - Marine,kg N eq,1.00E-02,1.35E-04,5.00E-03,0.00E+00,2.10E-02,0.00E+00,0.00E+00,4.82E-05,0.00E+00,2.03E-04,-1.92E-04
EP -Terrestrial,mol N eq,7.00E-03,3.00E-03,5.00E-03,0.00E+00,5.00E-03,0.00E+00,0.00E+00,2.17E-04,0.00E+00,1.00E-03,-2.00E-03
POCP,kg NMVOC,7.50E-02,3.40E-02,5.10E-02,0.00E+00,1.60E-02,0.00E+00,0.00E+00,2.30E-03,0.00E+00,7.00E-03,-1.60E-02
ADPE,kg Sb eq,2.90E-02,1.00E-02,1.90E-02,0.00E+00,3.00E-03,0.00E+00,0.00E+00,8.89E-04,0.00E+00,2.00E-03,-5.00E-03
ADPF,MJ,1.78E-04,1.74E-06,5.26E-05,0.00E+00,3.70E-06,0.00E+00,0.00E+00,6.14E-07,0.00E+00,5.15E-07,-2.23E-06
WDP,m3 depriv.,1.39E+02,1.07E+01,6.78E+01,0.00E+00,3.88E+00,0.00E+00,0.00E+00,2.70E+00,0.00E+00,5.48E+00,-7.84E+00
PM,disease inc.,3.71E+00,3.40E-02,2.32E+00,0.00E+00,1.01E+00,0.00E+00,0.00E+00,1.10E-02,0.00E+00,2.32E-01,-6.57E-01
IR,kBq U-235 eq,2.50E-07,3.59E-08,2.67E-07,0.00E+00,6.71E-08,0.00E+00,0.00E+00,1.12E-08,0.00E+00,3.76E-08,-5.05E-08
ETP - FW,CTUe,6.55E+01,5.61E+00,6.42E+01,0.00E+00,6.13E+01,0.00E+00,0.00E+00,1.65E+00,0.00E+00,2.62E+00,-4.90E+00
HTTP - C,CTUh,4.02E-09,3.61E-10,2.84E-09,0.00E+00,8.26E-10,0.00E+00,0.00E+00,8.12E-11,0.00E+00,1.43E-10,-4.27E-10
HTTP-NC,CTUh,1.90E-07,7.80E-09,1.64E-07,0.00E+00,2.48E-08,0.00E+00,0.00E+00,2.53E-09,0.00E+00,3.17E-09,-8.52E-09
SQP,Pt,4.42E+01,3.95E+00,2.40E+01,0.00E+00,3.72E+01,0.00E+00,0.00E+00,1.39E+00,0.00E+00,1.25E+01,-1.51E+01
