ResourceUse,,,,,,,,,,,
Impact Category,Unit,A1-A3,A4,A5,B1,B2,B3-B7,C1,C2,C3,C4,D
PERE,MJ,1.09E+01,1.35E-01,4.44E+00,0.00E+00,1.82E+01,0.00E+00,0.00E+00,3.60E-02,0.00E+00,9.60E-02,-1.63E-01
PERM,MJ,0.00E+00,1.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00
PERT,MJ,1.09E+01,1.13E+00,6.44E+00,0.00E+00,1.82E+01,0.00E+00,0.00E+00,3.60E-02,0.00E+00,9.60E-02,8.37E-01
PENRE,MJ,1.39E+02,1.07E+01,6.78E+01,0.00E+00,4.57E+00,0.00E+00,0.00E+00,2.70E+00,0.00E+00,5.48E+00,-7.85E+00
PENRM,MJ,0.00E+00,1.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00
PENRT,MJ,1.39E+02,1.17E+01,6.98E+01,0.00E+00,4.57E+00,0.00E+00,0.00E+00,2.70E+00,0.00E+00,5.48E+00,-6.85E+00
SM,kg,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
RSF,MJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
NRSF,MJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FW,m3,1.18E-01,1.00E-03,5.90E-02,0.00E+00,1.23E-01,0.00E+00,0.00E+00,4.51E-04,0.00E+00,6.00E-03,-4.90E-02
