Impact Category,Unit,A1-A3,A4,A5,B1,B2,B3-B7,C1,C2,C3,C4,D
GWP-Fossil,kg COz eq,10.3,0.823,4.74,0.0,0.386,0.0,0.0,0.2,0.0,0.264,-0.588
GWP - Biogenic,kg CO2 eq,0.12,0.00022,-0.0714,0.0,0.045,0.0,0.0,5.68e-05,0.0,0.049,-0.001
GWP - Luluc,kg CO2 eq,0.023,0.001,0.005,0.0,0.644,0.0,0.0,9.89e-05,0.0,0.000186,-0.00114
GWP - Total,kg CO2 eq,10.4,0.825,4.84,0.0,0.518,0.0,0.0,0.201,0.0,0.342,-0.591
ODP,kg CFC-11 eq,8.63e-07,1.49e-08,1.8e-07,0.0,2.01e-08,0.0,0.0,2.84e-09,0.0,5.98e-09,-9.23e-09
AP,mol H+ eq,0.038,0.012,0.03,0.0,0.004,0.0,0.0,0.000674,0.0,0.002,-0.005
*EP-Freshwater,kg P eq,0.003,4.42e-05,0.002,0.0,0.007,0.0,0.0,1.57e-05,0.0,6.63e-05,-6.27e-05
EP - Marine,kg N eq,0.01,0.000135,0.005,0.0,0.021,0.0,0.0,4.82e-05,0.0,0.000203,-0.000192
EP -Terrestrial,mol N eq,0.007,0.003,0.005,0.0,0.005,0.0,0.0,0.000217,0.0,0.001,-0.002
POCP,kg NMVOC,0.075,0.034,0.051,0.0,0.016,0.0,0.0,0.0023,0.0,0.007,-0.016
ADPE,kg Sb eq,0.029,0.01,0.019,0.0,0.003,0.0,0.0,0.000889,0.0,0.002,-0.005
ADPF,MJ,0.000178,1.74e-06,5.26e-05,0.0,3.7e-06,0.0,0.0,6.14e-07,0.0,5.15e-07,-2.23e-06
WDP,m3 depriv.,139.0,10.7,67.8,0.0,3.88,0.0,0.0,2.7,0.0,5.48,-7.84
PM,disease inc.,3.71,0.034,2.32,0.0,1.01,0.0,0.0,0.011,0.0,0.232,-0.657
IR,kBq U-235 eq,2.5e-07,3.59e-08,2.67e-07,0.0,6.71e-08,0.0,0.0,1.12e-08,0.0,3.76e-08,-5.05e-08
ETP - FW,CTUe,65.5,5.61,64.2,0.0,61.3,0.0,0.0,1.65,0.0,2.62,-4.9
HTTP - C,CTUh,4.02e-09,3.61e-10,2.84e-09,0.0,8.26e-10,0.0,0.0,8.12e-11,0.0,1.43e-10,-4.27e-10
HTTP-NC,CTUh,1.9e-07,7.8e-09,1.64e-07,0.0,2.48e-08,0.0,0.0,2.53e-09,0.0,3.17e-09,-8.52e-09
SQP,Pt,44.2,3.95,24.0,0.0,37.2,0.0,0.0,1.39,0.0,12.5,-15.1
