Impact Category,Unit,A1-A3,A4,A5,B1,B2,B3-B7,C1,C2,C3,C4,D
GWP -Fossil,kg CO2 eq,1.37E+01,1.88E+00,4.74E+00,0.00E+00,3.86E-01,0.00E+00,0.00E+00,2.79E-01,0.00E+00,4.63E-01,-8.95E-01
GWP - Biogenic,kg COz eq,1.28E-01,5.68E-04,-7.14E-02,0.00E+00,4.50E-02,0.00E+00,0.00E+00,7.90E-05,0.00E+00,4.96E-02,-2.00E-03
GWP-Luluc,kg CO2 eq,3.60E-02,1.00E-03,5.00E-03,0.00E+00,6.44E-01,0.00E+00,0.00E+00,1.38E-04,0.00E+00,3.27E-04,-2.00E-03
GWP - Total,kg COz eq,1.39E+01,1.89E+00,4.84E+00,0.00E+00,5.18E-01,0.0OE+00,0.00E+00,2.79E-01,0.00E+00,5.43E-01,-8.99E-01
ODP,kg CFC-11 eq,1.32E-06,3.78E-08,1.80E-07,0.00E+00,2.01E-08,0.00E+00,0.00E+00,3.95E-09,0.00E+00,1.05E-08,-1.40E-08
AP,mol H+ eq,5.40E-02,1.20E-02,3.00E-02,0.00E+00,4.00E-03,0.00E+00,0.00E+00,1.00E-03,0.00E+00,3.00E-03,-7.00E-03
*EP-Freshwater,kg P eq,5.00E-03,1.21E-04,2.00E-03,0.00E+00,7.00E-03,0.00E+00,0.00E+00,2.19E-05,0.00E+00,1.17E-04,-9.54E-05
EP - Marine,kg N eq,1.50E-02,3.72E-04,5.00E-03,0.00E+00,2.10E-02,0.00E+00,0.00E+00,6.70E-05,0.00E+00,3.57E-04,-2.92E-04
EP-Terrestrial,mol N eq,1.00E-02,3.00E-03,5.00E-03,0.00E+00,5.00E-03,0.00E+00,0.00E+00,3.02E-04,0.00E+00,1.00E-03,-2.00E-03
POCP,kg NMVOC,1.06E-01,3.30E-02,5.10E-02,0.00E+00,1.60E-02,0.00E+00,0.00E+00,3.00E-03,0.00E+00,1.30E-02,-2.50E-02
ADPE,kg Sb eq,3.80E-02,1.20E-02,1.90E-02,0.00E+00,3.00E-03,0.00E+00,0.00E+00,1.00E-03,0.00E+00,4.00E-03,-8.00E-03
ADPF,MJ,1.95E-04,5.21E-06,5.26E-05,0.00E+00,3.70E-06,0.00E+00,0.00E+00,8.54E-07,0.00E+00,9.04E-07,-3.39E-06
WDP,m3 depriv.,1.81E+02,2.55E+01,6.78E+01,0.00E+00,3.88E+00,0.00E+00,0.00E+00,3.76E+00,0.00E+00,9.64E+00,-1.19E+01
PM,disease inc.,5.95E+00,9.60E-02,2.32E+00,0.00E+00,1.01E+00,0.00E+00,0.00E+00,1.50E-02,0.00E+00,4.07E-01,-9.99E-01
IR,kBq U-235 eq,3.71E-07,9.81E-08,2.67E-07,0.00E+00,6.71E-08,0.00E+00,0.00E+00,1.56E-08,0.00E+00,6.61E-08,-7.68E-08
ETP - FW,CTUe,5.53E+01,1.34E+01,6.42E+01,0.00E+00,6.13E+01,0.00E+00,0.00E+00,2.29E+00,0.00E+00,4.51E+00,-7.46E+00
HTTP -C,CTUh,5.35E-09,8.26E-10,2.84E-09,0.00E+00,8.26E-10,0.00E+00,0.00E+00,1.13E-10,0.00E+00,2.50E-10,-6.49E-10
HTTP - NC,CTUh,2.29E-07,2.19E-08,1.64E-07,0.00E+00,2.48E-08,0.00E+00,0.00E+00,3.52E-09,0.00E+00,5.48E-09,-1.30E-08
SQP,Pt,5.34E+01,1.32E+01,2.40E+01,0.00E+00,3.72E+01,0.00E+00,0.00E+00,1.94E+00,0.00E+00,2.20E+01,-2.30E+01
