Technical Specification,KaleseramikWallTiles,RelatedStandards
Water Absorption (%),<0.5%,ISO 10545-3
Breaking Strength (N),Thickness ≥ 7.5 mm,1700 N,ISO 10545-4
Thickness < 7.5 mm,
Modules of Rupture (N/mm2),Min.35,ISO 10545-4
Impact Resistance,Compliant,ISO 10545-5
Resistance to Surface Abrasion for Glazed Tile,Class: 1-2-3-4-5,ISO 10545-7
Linear Thermal Expansion Coefficient (100°C),Compliant,ISO 10545-8
Resistance to Thermal Shock,Compliant,ISO 10545-9
Crazing Resistance for Glazed Tiles,Resistant,ISO 10545-11
Frost Resistance,Resistant,ISO 10545-12
Resistance to Low Concentrations of Acids andAlkalis,GLA-GLB,ISO 10545-13
Resistance to High Concentrations of Acids and Alkalis,Compliant,ISO10545-13
Resistance to Household Chemicals and Swimming Pool salts (glazed & unglazed),Min. GB,ISO 10545-13
Resistance to Stain,Min. Class 3,ISO 10545-14
