ResourceUse,,,,,,,,,,,
Unit,A1-A3,A4,A5,B1,B2,B3-B7,C1,C2,C3,C4,D
MJ,1.53E+01,3.84E-01,4.44E+00,0.00E+00,1.82E+01,0.00E+00,0.00E+00,5.10E-02,0.00E+00,1.67E-01,-2.47E-01
MJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00
MJ,1.53E+01,3.84E-01,4.44E+00,0.00E+00,1.82E+01,0.00E+00,0.00E+00,5.10E-02,0.00E+00,1.67E-01,7.53E-01
MJ,1.81E+02,2.55E+01,6.78E+01,0.00E+00,4.57E+00,0.00E+00,0.00E+00,3.76E+00,0.00E+00,9.64E+00,-1.19E+01
MJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00
MJ,1.81E+02,2.55E+01,6.78E+01,0.00E+00,4.57E+00,0.00E+00,0.00E+00,3.76E+00,0.00E+00,9.64E+00,-1.09E+01
kg,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
MJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
MJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
m3,1.93E-01,4.00E-03,5.90E-02,0.00E+00,1.23E-01,0.00E+00,0.00E+00,1.00E-03,0.00E+00,1.10E-02,-7.50E-02
