Impact Category,Unit,A1-A3,A4,A5,B1,B2,B3-B7,C1,C2,C3,C4,D
GWP-Fossil,kg COz eq,1.63E+03,1.53E+02,2.65E+02,0.00E+00,4.82E+00,0.00E+00,0.00E+00,1.41E+01,0.00E+00,1.73E+01,-4.20E+01
GWP - Biogenic,kg CO2 eq,3.76E+00,3.57E-01,4.45E+00,0.00E+00,-6.40E+00,0.00E+00,0.00E+00,2.70E-02,0.00E+00,1.07E+02,-9.80E-02
GWP - Luluc,kg COz eq,5.86E+00,7.80E-02,2.30E-01,0.0OE+00,8.05E+00,0.00E+00,0.0OE+00,7.68E-03,0.0OE+00,1.00E-02,-8.10E-02
GWP - Total,kg CO2 eq,1.64E+03,1.53E+02,2.69E+02,0.00E+00,6.47E+00,0.00E+00,0.00E+00,1.42E+01,0.00E+00,1.24E+02,-4.22E+01
ODP,kg CFC-11 eq,5.49E-05,3.16E-06,8.40E-06,0.00E+00,2.52E-07,0.00E+00,0.00E+00,2.00E-07,0.00E+00,3.74E-07,-6.59E-07
AP,mol H+ eq,4.77E+00,7.03E-01,1.52E+00,0.00E+00,5.40E-02,0.00E+00,0.0OE+00,4.80E-02,0.00E+00,1.13E-01,-3.42E-01
*EP-Freshwater,kg P eq,5.95E-01,1.00E-02,7.40E-02,0.00E+00,8.70E-02,0.00E+00,0.00E+00,1.00E-03,0.0OE+00,4.00E-03,-4.00E-03
EP -Marine,kg N eq,1.82E+00,3.10E-02,2.25E-01,0.00E+00,2.65E-01,0.00E+00,0.00E+00,3.00E-03,0.00E+00,1.20E-02,-1.40E-02
EP - Terrestrial,mol N eq,1.00E+00,1.76E-01,2.53E-01,0.00E+00,6.00E-02,0.00E+00,0.0OE+00,1.50E-02,0.00E+00,1.12E-01,-1.09E-01
POCP,kg NMVOC,9.52E+00,1.88E+00,2.63E+00,0.00E+00,2.00E-01,0.00E+00,0.00E+00,1.63E-01,0.00E+00,4.48E-01,-1.18E+00
ADPE,kg Sb eq,3.89E+00,7.61E-01,1.02E+00,0.00E+00,3.30E-02,0.0OE+00,0.00E+00,6.30E-02,0.00E+00,1.68E-01,-3.68E-01
ADPF,MJ,1.49E-03,4.56E-04,2.91E-03,0.00E+00,4.63E-05,0.00E+00,0.00E+00,4.33E-05,0.00E+00,3.16E-05,-1.59E-04
WDP,m3 depriv.,2.20E+04,2.09E+03,4.87E+03,0.00E+00,4.85E+01,0.00E+00,0.00E+00,1.91E+02,0.00E+00,3.15E+02,-5.60E+02
PM,disease inc.,3.73E+02,8.12E+00,1.39E+02,0.00E+00,1.27E+01,0.00E+00,0.00E+00,7.84E-01,0.00E+00,1.28E+01,-4.69E+01
IR,kBq U-235 eq,2.74E-05,8.41E-06,1.37E-05,0.00E+00,8.39E-07,0.00E+00,0.00E+00,7.89E-07,0.00E+00,2.19E-06,-3.60E-06
ETP-FW,CTUe,2.40E+03,1.11E+03,2.96E+03,0.00E+00,7.66E+02,0.00E+00,0.00E+00,1.16E+02,0.00E+00,3.04E+02,-3.50E+02
HTTP-C,CTUh,3.11E-07,6.77E-08,1.38E-07,0.00E+00,1.03E-08,0.00E+00,0.00E+00,5.73E-09,0.00E+00,1.45E-08,-3.05E-08
HTTP - NC,CTUh,8.30E-06,1.84E-06,7.78E-06,0.00E+00,3.10E-07,0.00E+00,0.00E+00,1.79E-07,0.00E+00,3.45E-07,-6.08E-07
SQP,Pt,3.65E+03,1.18E+03,1.13E+03,0.00E+00,4.65E+02,0.00E+00,0.00E+00,9.83E+01,0.00E+00,7.14E+02,-1.08E+03
