ResourceUse,,,,,,,,,,,
Unit,A1-A3,A4,A5,B1,B2,B3-B7,C1,C2,C3,C4,D
MJ,2.19E+03,3.14E+01,2.28E+02,0.00E+00,2.28E+02,0.00E+00,0.00E+00,2.57E+00,0.00E+00,7.19E+00,-1.16E+01
MJ,0.00E+00,7.75E-01,1.55E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00
MJ,2.19E+03,3.22E+01,2.30E+02,0.00E+00,2.28E+02,0.00E+00,0.00E+00,2.57E+00,0.00E+00,7.19E+00,-1.06E+01
MJ,2.20E+04,2.09E+03,4.87E+03,0.00E+00,5.72E+01,0.00E+00,0.00E+00,1.91E+02,0.00E+00,3.15E+02,-5.61E+02
MJ,0.00E+00,7.75E-01,1.55E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00
MJ,2.20E+04,2.09E+03,4.87E+03,0.00E+00,5.72E+01,0.00E+00,0.00E+00,1.91E+02,0.00E+00,3.15E+02,-5.60E+02
kg,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
MJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
MJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
m3,1.12E+01,3.30E-01,2.74E+00,0.00E+00,1.54E+00,0.00E+00,0.00E+00,3.20E-02,0.00E+00,3.61E-01,-3.53E+00
