Impact Category,Unit,A1-A3,A4,A5,B1,B2,B3-B7,C1,C2,C3,C4,D
GWP-Fossil,kg COz eq,1630.0,153.0,265.0,0.00E+00,4.82,0.00E+00,0.00E+00,14.1,0.00E+00,17.3,-42.0
GWP - Biogenic,kg CO2 eq,3.76,0.357,4.45,0.00E+00,-6.4,0.00E+00,0.00E+00,0.027,0.00E+00,107.0,-0.098
GWP - Luluc,kg COz eq,5.86,0.078,0.23,0.0OE+00,8.05,0.00E+00,0.0OE+00,0.00768,0.0OE+00,0.01,-0.081
GWP - Total,kg CO2 eq,1640.0,153.0,269.0,0.00E+00,6.47,0.00E+00,0.00E+00,14.2,0.00E+00,124.0,-42.2
ODP,kg CFC-11 eq,5.49e-05,3.16e-06,8.4e-06,0.00E+00,2.52e-07,0.00E+00,0.00E+00,2e-07,0.00E+00,3.74e-07,-6.59e-07
AP,mol H+ eq,4.77,0.703,1.52,0.00E+00,0.054,0.00E+00,0.0OE+00,0.048,0.00E+00,0.113,-0.342
*EP-Freshwater,kg P eq,0.595,0.01,0.074,0.00E+00,0.087,0.00E+00,0.00E+00,0.001,0.0OE+00,0.004,-0.004
EP -Marine,kg N eq,1.82,0.031,0.225,0.00E+00,0.265,0.00E+00,0.00E+00,0.003,0.00E+00,0.012,-0.014
EP - Terrestrial,mol N eq,1.0,0.176,0.253,0.00E+00,0.06,0.00E+00,0.0OE+00,0.015,0.00E+00,0.112,-0.109
POCP,kg NMVOC,9.52,1.88,2.63,0.00E+00,0.2,0.00E+00,0.00E+00,0.163,0.00E+00,0.448,-1.18
ADPE,kg Sb eq,3.89,0.761,1.02,0.00E+00,0.033,0.0OE+00,0.00E+00,0.063,0.00E+00,0.168,-0.368
ADPF,MJ,0.00149,0.000456,0.00291,0.00E+00,4.63e-05,0.00E+00,0.00E+00,4.33e-05,0.00E+00,3.16e-05,-0.000159
WDP,m3 depriv.,22000.0,2090.0,4870.0,0.00E+00,48.5,0.00E+00,0.00E+00,191.0,0.00E+00,315.0,-560.0
PM,disease inc.,373.0,8.12,139.0,0.00E+00,12.7,0.00E+00,0.00E+00,0.784,0.00E+00,12.8,-46.9
IR,kBq U-235 eq,2.74e-05,8.41e-06,1.37e-05,0.00E+00,8.39e-07,0.00E+00,0.00E+00,7.89e-07,0.00E+00,2.19e-06,-3.6e-06
ETP-FW,CTUe,2400.0,1110.0,2960.0,0.00E+00,766.0,0.00E+00,0.00E+00,116.0,0.00E+00,304.0,-350.0
HTTP-C,CTUh,3.11e-07,6.77e-08,1.38e-07,0.00E+00,1.03e-08,0.00E+00,0.00E+00,5.73e-09,0.00E+00,1.45e-08,-3.05e-08
HTTP - NC,CTUh,8.3e-06,1.84e-06,7.78e-06,0.00E+00,3.1e-07,0.00E+00,0.00E+00,1.79e-07,0.00E+00,3.45e-07,-6.08e-07
SQP,Pt,3650.0,1180.0,1130.0,0.00E+00,465.0,0.00E+00,0.00E+00,98.3,0.00E+00,714.0,-1080.0
