Indicator,Unit,A1-A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,D
PERE,"MJ,net CV",3.88E+01,2.90E-02,2.75E+00,0.00E+00,6.87E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.90E-02,1.81E+01,5.83E-03,1.64E+01
PERM,"MJ,net CV",3.60E+00,0.00E+00,-1.47E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
PERT,"MJ,net CV",4.24E+01,2.90E-02,1.28E+00,0.00E+00,6.87E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.90E-02,1.81E+01,5.83E-03,1.64E+01
PENRE,"MJ, net CV",1.49E+02,1.86E+00,4.67E+00,0.00E+00,3.64E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.87E+00,1.18E+00,1.42E-01,-9.92E+01
PENRM,"MJ, net CV",5.11E+01,0.00E+00,1.53E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.44E+01
PENRT,"MJ,net CV",2.00E+02,1.86E+00,6.20E+00,0.00E+00,3.64E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.87E+00,1.18E+00,1.42E-01,-8.47E+01
SM,kg,2.07E+00,0.00E+00,6.22E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.96E+00
RSF,"MJ, net CV",0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-8.71E-25
NRSF,"MJ, net CV",0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.03E-23
FW,m3 -1.90E-01,,-8.88E-04,-5.89E-03,0.00E+00,-2.24E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-8.89E-04,-1.83E-03,-9.59E-05,1.89E-01
Acronyms,PERE = Use of renewable primary energy escluding renewable primary energy resources used as raw materials; PERIM = Use of renewable primary energy resources used as raw materials; PERT = Total use of renewable primary energy resources; PENRE = Use of non- renewable primary energy escluding non-renewable primary energy resources used as raw materials; PENRM = Use of non-renewable primary energy resources used as raw materials; PENRT = Total use of non-renewable primary energy re-sources; SM = Use of secondary material;RSF=Use ofrenewable secondary fuels;NRSF=Use of non-renewable secondary fuels;FW=Use of net fresh water,
