Indicator,Unit,A1-A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,D
PERE,"MJ,net CV",38.8,0.029,2.75,0.0,0.687,0.0,0.0,0.0,0.0,0.0,0.0,0.029,18.1,0.00583,16.4
PERM,"MJ,net CV",3.6,0.0,-1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERT,"MJ,net CV",42.4,0.029,1.28,0.0,0.687,0.0,0.0,0.0,0.0,0.0,0.0,0.029,18.1,0.00583,16.4
PENRE,"MJ, net CV",149.0,1.86,4.67,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0,1.87,1.18,0.142,-99.2
PENRM,"MJ, net CV",51.1,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4
PENRT,"MJ,net CV",200.0,1.86,6.2,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0,1.87,1.18,0.142,-84.7
SM,kg,2.07,0.0,0.0622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.96
RSF,"MJ, net CV",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.71e-25
NRSF,"MJ, net CV",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.03e-23
FW,m3 -1.90E-01,,-0.000888,-0.00589,0.0,-0.0224,0.0,0.0,0.0,0.0,0.0,0.0,-0.000889,-0.00183,-9.59e-05,0.189
Acronyms,PERE = Use of renewable primary energy escluding renewable primary energy resources used as raw materials; PERIM = Use of renewable primary energy resources used as raw materials; PERT = Total use of renewable primary energy resources; PENRE = Use of non- renewable primary energy escluding non-renewable primary energy resources used as raw materials; PENRM = Use of non-renewable primary energy resources used as raw materials; PENRT = Total use of non-renewable primary energy re-sources; SM = Use of secondary material;RSF=Use ofrenewable secondary fuels;NRSF=Use of non-renewable secondary fuels;FW=Use of net fresh water,,,,,,,,,,,,,,,
