Indicator,Unit,A1-A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,D
PERE,"MJ,net CV",1.92E+01,0.029,2.16,0.0,0.687,0.0,0.0,0.0,0.0,0.00E+00,0.0,0.029,18.1,0.0057,15.4
PERM,"MJ, net CV",4.46E+00,0.0,-1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.00E+00,0.0,0.0,0.0,0.0,0.0
PERT,"MJ, net CV",2.37E+01,0.029,0.718,0.0,0.687,0.0,0.0,0.0,0.0,0.00E+00,0.0,0.029,18.1,0.0057,15.4
PENRE,"MJ, net CV",6.32E+01,1.86,2.1,0.0,3.64,0.0,0.0,0.0,0.0,0.00E+00,0.0,1.87,1.18,0.139,-93.4
PENRM,"MJ,net CV",2.53E+01,0.0,0.759,0.0,0.0,0.0,0.0,0.0,0.0,0.00E+00,0.0,0.0,0.0,0.0,13.9
PENRT,"MJ, net CV",0.00E+00,0.0732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00E+00,0.0,0.0,0.0,0.0,-79.8
SM,kg,2.44E+00,0.0,0.0732,0.0,0.0,0.0,0.0,0.0,0.0,0.00E+00,0.0,0.0,0.0,0.0,-1.8
RSF,"MJ, net CV",0.00E+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00E+00,0.0,0.0,0.0,0.0,-8.17e-25
NRSF,"MJ,net CV",0.00E+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00E+00,0.0,0.0,0.0,0.0,-9.639999999999999e-24
FW,m3,-1.69E-01,-0.000888,-0.00527,0.0,-0.0224,0.0,0.0,0.0,0.0,0.00E+00 material;RSF=Use ofrenewable secondary fuels;NRSF=Use of non-renewable secondaru fuels;Fw=Use of net fresh water,0.0,-0.000889,-0.00183,-9.38e-05,0.177
Acronyms,,PERE = Use of renewable primary energy excluding renewable primary energy resources used as raw materials; PERM = Use of renewable primary energy resources used as raw materials; PERT = Total use of renewable primary energy resources; PENIRE = Use of non- renewable primary energy escluding non-renewable primary energy resources used as raw materials; PENRM = Use of non-renewable primary energy resources used as raw materials; PENRT = Total use of non-renewable primary energy re-sources; SM = Use of secondary,,,,,,,,,,,,,,
