Indicator Unit,,,,,,,
B5,B6,B7,C1,C2,,C4,
0.00E+00 0.00E+00,0.00E+00 0.00E+00,0.00E+00 0.00E+00,0.00E+00 0.00E+00,1.35E-01 1.35E-01,7.09E-01 1.26E-01,7.55E-01 7.55E-01,-4.89E+00 -4.91E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.51E-05,5.83E-01,6.22E-05,1.82E-02
0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.45E-05,1.51E-04,5.75E-06,-3.93E-03
0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.87E-09,3.39E-09,7.76E-10,-2.44E-08
0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.30E-04,9.65E-04,1.72E-04,-1.08E-02
0.00E+00,,,,,,,
,0.00E+00,0.00E+00,0.00E+00,9.22E-06,6.65E-05,2.25E-06,-4.89E-04
0.00E+00 0.00E+00,0.00E+00 0.00E+00,0.00E+00 0.00E+00,0.00E+00 0.00E+00,1.48E-04 1.56E-03,1.58E-04 1.66E-03,9.81E-05 8.37E-04,-1.24E-03 -1.72E-02
0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.42E-04,5.46E-04,2.10E-04,-8.14E-03
0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.24E-07,6.51E-06,3.63E-08,-9.51E-06
,,,,,,,
0.00E+00 0.00E+00,0.00E+00 0.00E+00,0.00E+00 0.00E+00,0.00E+00 0.00E+00,1.87E+00 7.45E-03,1.18E+00 3.52E-02,1.39E-01 3.41E-02,-1.11E+02 4.77E+00
,,,,,,,
